nct,http_status,n_armgroups,sha256,from_cache
NCT00002597,200,2,0dc02d0ad1e037a6,False
NCT00002874,200,2,938c6966f4bcb010,False
NCT00003641,200,2,cdb710aaf5b0b597,False
NCT00004124,200,2,79780eaa94e8144e,False
NCT00004859,200,2,88506ffe17fdb7e0,False
NCT00006237,200,2,56de02bdf6e2ec74,False
NCT00007644,200,2,ab20e1236e99d657,False
NCT00019682,200,2,c84021ecd749621b,False
NCT00021255,200,3,2e719119a570e041,False
NCT00025259,200,7,d5e5b905d59b7467,False
NCT00033631,200,2,2994764e7d191812,False
NCT00041119,200,4,85524bcc72f08f99,False
NCT00047008,200,2,b763748e5b61b918,False
NCT00049543,200,2,96eee8d7d84d702f,False
NCT00063882,200,2,082864af693b8307,False
NCT00063999,200,2,bf5f976d5ae9d53f,False
NCT00065442,200,2,ce8de5796cf2cf85,False
NCT00066573,200,2,eebadb0f90c1a671,False
NCT00066690,200,3,54ea232ace23d5e8,False
NCT00066703,200,2,d223a7160a2584db,False
NCT00068601,200,2,ead95ac6a864b671,False
NCT00070564,200,6,047280b2e6c34279,False
NCT00075764,200,2,761c905341b0c39d,False
NCT00075803,200,2,23193a7171759daf,False
NCT00075816,200,2,a16682e8d61dc2c1,False
NCT00075829,200,3,3f1ccd63667b8812,False
NCT00075946,200,2,a43f75dac8ccd77c,False
NCT00078949,200,4,4499e0ff5779eec8,False
NCT00079001,200,2,7b6880d3226fb239,False
NCT00085735,200,6,a70403d27446ed0f,False
NCT00087022,200,2,c4eaa3efdb747ade,False
NCT00088907,200,2,93af0dcdace5baed,False
NCT00091169,200,2,35f6dd4fb92a0bb6,False
NCT00093795,200,3,31712a624ffb1add,False
NCT00094497,200,2,7c6de0def5c118fc,False
NCT00094653,200,3,8f7af73a931b3d0c,False
NCT00106691,200,2,8b39e4e98d68ff58,False
NCT00107172,200,2,8b1906012f50f52e,False
NCT00108745,200,3,94e890f707b3a49a,False
NCT00110019,200,2,62f161d12260b3d8,False
NCT00110214,200,2,2902636a84cae0b9,False
NCT00114101,200,2,c76f627dcd44c1c4,False
NCT00116142,200,2,028743f30c7450d6,False
NCT00118209,200,2,7fad9a475fb7ca8f,False
NCT00121992,200,2,db4fae4b26710b18,False
NCT00127205,200,3,d8c30cad001c7e9e,False
NCT00129389,200,2,5b40d0f982194f14,False
NCT00129935,200,2,03b59362ac86611e,False
NCT00130533,200,2,4b062e6661b33a96,False
NCT00130728,200,2,1375f02362911044,False
NCT00134030,200,4,2049fb8356b11cb3,False
NCT00210353,200,3,f6b23869b515a653,False
NCT00257608,200,2,da0152063791573c,False
NCT00260832,200,2,541914facb2150c0,False
NCT00262821,200,2,6bff189a45479b11,False
NCT00262847,200,3,ea14d592825fd65e,False
NCT00265850,200,3,4babc6ec311378c0,False
NCT00268983,200,2,2e3666c82b1483e1,False
NCT00281658,200,4,f13ea4336d7a51e1,False
NCT00281697,200,2,87479469ef99bb03,False
NCT00295620,200,2,3e41bb272d45004d,False
NCT00295646,200,4,01ae5479c21f331d,False
NCT00304031,200,3,005d43aae0688907,False
NCT00309985,200,2,472c38670425009f,False
NCT00310180,200,4,c4718a88fd4041d8,False
NCT00312377,200,2,359a5e7a94d8877d,False
NCT00317642,200,2,24f74f59b1b3c60a,False
NCT00320710,200,3,6b22e759e7096f09,False
NCT00324155,200,2,b6163f1d79022cca,False
NCT00331773,200,2,c857a184579451cf,False
NCT00337103,200,2,d641ccdc81b67dfc,False
NCT00338286,200,2,8ac71f7b99487dc3,False
NCT00353496,200,2,57bbcae4982e4235,False
NCT00354432,200,4,eb47ce6601e84c0a,False
NCT00364351,200,2,76bfd7f54a3c8de7,False
NCT00369785,200,2,ed5d4e250f53234b,False
NCT00372593,200,3,e13016f1f0b09b7f,False
NCT00374322,200,2,ea50afaf4500a40d,False
NCT00375674,200,2,f26c55627ba3e81f,False
NCT00377156,200,2,5844f6b31be497d1,False
NCT00382018,200,4,42f5070a39b905cd,False
NCT00384176,200,2,6df115d739a5b386,False
NCT00390455,200,2,ed2cdbd92dcd2704,False
NCT00399035,200,4,6f2396b58df95cc6,False
NCT00402779,200,2,b7615f77d04314ea,False
NCT00405756,200,3,8330097af9d865d1,False
NCT00406393,200,2,77640c0107af63bc,False
NCT00408005,200,17,50a07e7aed6ded14,False
NCT00410761,200,2,2df0149f5077e436,False
NCT00412061,200,2,6b92395c6336a794,False
NCT00412360,200,2,95cd6bcb167b85fe,False
NCT00414648,200,2,0668887694851f2d,False
NCT00418457,200,2,756bcc8b5561cba5,False
NCT00418574,200,2,e8ebd2e9b4faa666,False
NCT00424255,200,2,bf7490a87033e132,False
NCT00428597,200,2,0540c80103334247,False
NCT00430183,200,2,9144ac1dc64e520a,False
NCT00433511,200,3,aa46005e61302869,False
NCT00434642,200,2,be9e22076f816f66,False
NCT00435409,200,2,85f84f37eaf1e378,False
NCT00445601,200,2,a7c0ca6c59f8992c,False
NCT00449033,200,2,6f343c0a70947f17,False
NCT00457392,200,2,e5564f7cc7e5dcde,False
NCT00457691,200,2,f30da40e8107a147,False
NCT00471497,200,3,035c71fd13c2242e,False
NCT00474786,200,2,7d14e5dd0c5c8fa1,False
NCT00475085,200,4,46c447ff7f8e23e9,False
NCT00481247,200,2,0c0dc2a209112f24,False
NCT00482677,200,2,35fe188cc488e839,False
NCT00486954,200,2,e3bd59bae138a49b,False
NCT00490139,200,4,06f6a9f52ca91f4c,False
NCT00499109,200,2,07c6e54dc3a6f682,False
NCT00500890,200,2,289dc88aa3e83925,False
NCT00507416,200,3,3f29afe5be23e26f,False
NCT00510068,200,2,1da4acfdde7c5a76,False
NCT00532155,200,2,f3f888762bc4db3e,False
NCT00549848,200,2,af1f39206179b2a2,False
NCT00553358,200,3,7e9600958256f73d,False
NCT00553410,200,2,ac2e526f4008267a,False
NCT00556374,200,4,f51b4367977b036f,False
NCT00565851,200,4,e295b5bdba779acb,False
NCT00567190,200,2,dde2ec51701f38eb,False
NCT00567567,200,2,50e8a905299f7e84,False
NCT00567580,200,3,3d5812cfbb62a83b,False
NCT00569127,200,2,fa2b0c832318e69d,False
NCT00574873,200,2,5ae5a357f7c3b8f9,False
NCT00588770,200,8,35be6e4a6808cde3,False
NCT00602420,200,2,1c338d48d0e63d7b,False
NCT00617669,200,2,dda623b9f249e52e,False
NCT00631371,200,2,de9a84a7be186e31,False
NCT00632853,200,2,b79f8b4c11a5600b,False
NCT00638690,200,2,190af55b51b32a0b,False
NCT00651261,200,2,8d025d0c781e5b1d,False
NCT00655876,200,2,55e613f36c226324,False
NCT00667251,200,2,3a8417b3be44fa6f,False
NCT00676650,200,2,58470b9fb9fdcf8b,False
NCT00680901,200,2,6fa8823a1b9f89a8,False
NCT00686959,200,2,6fd2d34afd1d0740,False
NCT00689936,200,3,d357c4aa12e69d71,False
NCT00699751,200,2,532869b95011cf17,False
NCT00703820,200,2,1a16575841cb12d6,False
NCT00716976,200,2,21359d24da8ea0b2,False
NCT00722137,200,2,a8ab60bb3b797760,False
NCT00754845,200,2,e4b17ac1f2834187,False
NCT00762034,200,2,8ccb9e4953231c52,False
NCT00769379,200,2,a45047d8ff0e50bc,False
NCT00769704,200,2,30745d25a29a58e4,False
