filename,intervention_type,pos_idx,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,n_runs,arm_name,intensity_score,pmid,sponsor_binary,Funder,disease_site,Disease Stage,treatment_modality,start_year
30738780 CT_Summary_SoE.pdf,control,0,2.0,3.0,7.0,10.0,13.0,17.0,28.0,3,Arm B (Placebo + abiraterone acetate + prednisone/prednisolone),1.4166666666666667,30738780,Industry,INDUSTRY,GU,Metastatic,Endocrine,2014
30738780 CT_Summary_SoE.pdf,intervention,0,2.0,3.0,7.0,10.0,13.0,17.0,28.0,3,Arm A (Radium-223 dichloride + abiraterone acetate + prednisone/prednisolone),1.4166666666666667,30738780,Industry,INDUSTRY,GU,Metastatic,Endocrine,2014
PIMD 27718847 a_Summary_SoE.pdf,control,0,1.0,4.0,9.0,15.0,19.0,24.0,21.0,3,Arm B (Standard of Care Platinum-based Chemotherapy),2.0,27718847,Industry,INDUSTRY,Thor,Metastatic,Immunotherapy,2014
PIMD 27718847 a_Summary_SoE.pdf,intervention,0,1.0,2.0,5.0,9.0,13.0,18.0,21.0,3,Arm A (Pembrolizumab Monotherapy),1.5,27718847,Industry,INDUSTRY,Thor,Metastatic,Immunotherapy,2014
PMID 19213681 a_Summary_SoE.pdf,control,0,1.0,1.0,1.0,2.0,2.0,3.0,180.0,3,Arm A (Nolvadex alone),0.25,19213681,Industry,INDUSTRY,Breast,Non-metastatic,Endocrine,1999
PMID 19213681 a_Summary_SoE.pdf,control,1,1.0,1.0,1.0,2.0,2.0,3.0,180.0,1,Arm C (Arimidex alone),0.25,19213681,Industry,INDUSTRY,Breast,Non-metastatic,Endocrine,1999
PMID 19213681 a_Summary_SoE.pdf,control,2,1.0,1.0,1.0,2.0,2.0,3.0,180.0,3,Arm C (Arimidex alone),0.25,19213681,Industry,INDUSTRY,Breast,Non-metastatic,Endocrine,1999
PMID 19213681 a_Summary_SoE.pdf,intervention,0,1.0,1.0,1.0,2.0,2.0,3.0,180.0,3,Arm B (Nolvadex plus zoledronate),0.25,19213681,Industry,INDUSTRY,Breast,Non-metastatic,Endocrine,1999
PMID 19213681 a_Summary_SoE.pdf,intervention,1,1.0,1.5,2.5,4.5,6.0,8.5,104.0,2,Arm D (Arimidex plus zoledronate),0.7083333333333334,19213681,Industry,INDUSTRY,Breast,Non-metastatic,Endocrine,1999
PMID 20525992 a_Summary_SoE.pdf,control,0,2.0,2.0,5.0,8.0,10.0,11.0,21.0,3,Arm A (Melanoma Peptide Vaccine Monotherapy),0.9166666666666666,20525992,Industry,INDUSTRY,Skin,Metastatic,Targeted Therapy,2004
PMID 20525992 a_Summary_SoE.pdf,intervention,0,2.0,2.0,5.0,8.0,10.0,11.0,21.0,3,Arm B (MDX-010 + Melanoma Peptide Vaccine),0.9166666666666666,20525992,Industry,INDUSTRY,Skin,Metastatic,Targeted Therapy,2004
PMID 20525992 a_Summary_SoE.pdf,intervention,1,2.0,2.0,5.0,8.0,10.0,11.0,21.0,3,Arm C (MDX-010 Monotherapy),0.9166666666666666,20525992,Industry,INDUSTRY,Skin,Metastatic,Targeted Therapy,2004
PMID 20525993 a_Summary_SoE.pdf,control,0,1.0,4.0,6.0,9.0,10.0,11.0,28.0,3,Arm C (Imatinib 400 mg QD),0.9166666666666666,20525993,Industry,INDUSTRY,Heme,Hematologic,Other,2007
PMID 20525993 a_Summary_SoE.pdf,intervention,0,1.0,4.0,6.0,9.0,10.0,11.0,28.0,3,Arm A (Nilotinib 300 mg BID),0.9166666666666666,20525993,Industry,INDUSTRY,Heme,Hematologic,Other,2007
PMID 20525993 a_Summary_SoE.pdf,intervention,1,1.0,4.0,6.0,9.0,10.0,11.0,28.0,3,Arm B (Nilotinib 400 mg BID),0.9166666666666666,20525993,Industry,INDUSTRY,Heme,Hematologic,Other,2007
PMID 20525995 a_Summary_SoE.pdf,control,0,2.0,3.0,5.0,6.0,7.0,8.0,0.0,3,Imatinib (400 mg daily),0.6666666666666666,20525995,Industry,INDUSTRY,Heme,Hematologic,Other,2007
