filename,intervention_screening,intervention_1_month,intervention_3_months,intervention_6_months,intervention_9_months,intervention_12_months,intervention_intensity,intervention_cycle_length,control_screening,control_1_month,control_3_months,control_6_months,control_9_months,control_12_months,control_intensity,control_cycle_length,delta_screening,delta_1_month,delta_3_months,delta_6_months,delta_9_months,delta_12_months,delta_intensity,pmid,publication_year,Funder,Industry,Disease Site,Disease Stage,Treatment Type,Condition,intervention,Publication Year,NCT Number,Design,Enrollment,Start Date,Enrollment Year,sponsor_binary,disease_site,treatment_modality,start_year
30738780 CT_Summary_SoE.pdf,2.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,2.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30738780,,INDUSTRY,Yes,GU,Metastatic,Systemic Therapy,Prostatic Neoplasms,"DRUG: Radium-223 dichloride (Xofigo, BAY88-8223)|DRUG: Matching placebo (normal saline)|DRUG: Abiraterone|DRUG: Prednisone/Prednisolone",2019,NCT02043678,Superiority,806,3/30/2014,2014,Industry,GU,Endocrine,2014
PIMD 27718847 a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,1.0,4.0,9.0,15.0,19.0,24.0,2.0,21.0,0.0,-2.0,-4.0,-6.0,-6.0,-6.0,-0.5,27718847,,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Non-Small Cell Lung Carcinoma,DRUG: Pembrolizumab|DRUG: Paclitaxel|DRUG: Carboplatin|DRUG: Pemetrexed|DRUG: Cisplatin|DRUG: Gemcitabine,2016,NCT02142738,Superiority,305,8/25/2014,2014,Industry,Thor,Immunotherapy,2014
PMID 19213681 a_Summary_SoE.pdf,1.0,1.0,1.0,2.0,2.0,3.0,0.25,180.0,1.0,1.0,1.0,2.0,2.0,3.0,0.25,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19213681,2009.0,INDUSTRY,Yes,Breast,Non-metastatic,Systemic Therapy,Breast Cancer,DRUG: tamoxifen|DRUG: anastrozole|DRUG: zoledronic acid|OTHER: goserelin,2009,NCT00295646,Superiority,1803,1999-06,1999,Industry,Breast,Endocrine,1999
PMID 20525992 a_Summary_SoE.pdf,2.0,2.0,5.0,8.0,10.0,11.0,0.9166666666666666,21.0,2.0,2.0,5.0,8.0,10.0,11.0,0.9166666666666666,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20525992,2010.0,INDUSTRY,Yes,Skin,Metastatic,Systemic Therapy,Melanoma|Metastases,DRUG: MDX-010 (anti-CTLA4) monoclonal antibody|BIOLOGICAL: MDX-1379 (gp100) Melanoma Peptide Vaccine,2010,NCT00094653,Superiority,1783,2004-09,2004,Industry,Skin,Targeted Therapy,2004
PMID 20525993 a_Summary_SoE.pdf,1.0,4.0,6.0,9.0,10.0,11.0,0.9166666666666666,28.0,1.0,4.0,6.0,9.0,10.0,11.0,0.9166666666666666,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20525993,2010.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,"Myelogenous Leukemia, Chronic",DRUG: nilotinib|DRUG: imatinib,2010,NCT00471497,Superiority,846,7/31/2007,2007,Industry,Heme,Other,2007
PMID 20525995 a_Summary_SoE.pdf,2.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,0.0,2.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20525995,2010.0,INDUSTRY,Yes,Heme,Hematologic,Systemic Therapy,"Myeloid Leukemia, Chronic",DRUG: Dasatinib|DRUG: Imatinib,2010,NCT00481247,Superiority,547,2007-09,2007,Industry,Heme,Other,2007
PMID 20570559 CT a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20570559,2010.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Non-small Cell Lung Cancer|Lung Cancer,DRUG: Docetaxel|DRUG: Vandetanib,2010,NCT00312377,Superiority,1690,2006-05,2006,Industry,Thor,Targeted Therapy,2006
PMID 20818862 a_Summary_SoE.pdf,3.0,5.0,7.0,9.0,11.0,12.0,1.0,14.0,3.0,5.0,7.0,9.0,11.0,12.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20818862,2010.0,INDUSTRY,Yes,GU,Metastatic,Systemic Therapy,Prostate Cancer,BIOLOGICAL: Sipuleucel-T|BIOLOGICAL: APC-Placebo,2010,NCT00065442,Superiority,512,2003-07,2003,Industry,GU,Immunotherapy,2003
PMID 20826719 a_Summary_SoE.pdf,2.0,1.0,1.0,3.0,3.0,4.0,0.3333333333333333,0.0,2.0,1.0,1.0,3.0,3.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20826719,2010.0,OTHER,Yes,Heme,Hematologic,Supportive Care,Lymphoma|Infection|Leukemia,DRUG: Fluconazole|DRUG: Voriconazole,2010,NCT00075803,Superiority,600,2003-11,2003,Industry,Heme,Other,2003
PMID 21121833 a_Summary_SoE.pdf,2.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,2.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21121833,2010.0,OTHER,No,Breast,Non-metastatic,Systemic Therapy,Breast Neoplasms,DRUG: Docetaxel|DRUG: 5-fluorouracil|DRUG: Doxorubicin|DRUG: Cyclophosphamide,2010,NCT00121992,Superiority,1060,1999-07,1999,Non-Industry,Breast,Chemotherapy,1999
PMID 21282542 CT_Summary_SoE.pdf,2.0,4.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,2.0,4.0,6.0,9.0,12.0,16.0,1.3333333333333333,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21282542,2011.0,INDUSTRY,Yes,Thor,Metastatic,Systemic Therapy,Non Small Cell Lung Cancer,DRUG: Vandetanib|DRUG: Erlotinib,2011,NCT00364351,Superiority,1574,2006-08,2006,Industry,Thor,Targeted Therapy,2006
PMID 21306237 a_Summary_SoE.pdf,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,1.0,3.0,5.0,8.0,11.0,15.0,1.25,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21306237,2011.0,INDUSTRY,Yes,Other,Metastatic,Systemic Therapy,"Carcinoma, Islet Cell|Carcinoma, Pancreas",DRUG: sunitinib malate|DRUG: Placebo,2011,NCT00428597,Superiority,171,2007-06,2007,Industry,Other,Targeted Therapy,2007
