Predictor,OR,CI_lower,CI_upper,p_value,coefficient
Sponsor: Industry,1.3214020276240017,0.9112827894534345,1.9160938172179172,0.1415736145538801,0.2786933150638118
Site: Breast,0.5073420505059596,0.3365561655959,0.7647934654706182,0.0011931496825548294,-0.6785698470385965
Site: CNS,1.856135241778707,0.67859991889247,5.076979734091048,0.22830471550557774,0.6184964990469787
Site: GI,0.9225634026355679,0.5933394954119311,1.434462459458589,0.7204211520937307,-0.08059917628494721
Site: GU,0.372894142771835,0.23716375012643576,0.5863039424845151,1.934195241751534e-05,-0.9864606991563479
Site: GYN,1.021444622020463,0.5783542449378819,1.8039966421731501,0.9417152675634606,0.021217921393328978
Site: HN,1.0534186803990808,0.5524727530887475,2.008589401033291,0.8744249395135875,0.05204076134363657
Site: Multiple,0.12289644815982573,0.026083491514392876,0.5790458291201773,0.008029377562913366,-2.096413163073287
Site: Other,0.5648020432029354,0.2943510557820211,1.0837445347654673,0.08577875221168994,-0.5712799752407115
Site: Skin,0.5529262589848154,0.30043032499225436,1.0176317849498893,0.056935385948063674,-0.5925306335758991
Site: Thor,0.4717156515488935,0.31207265541246737,0.7130251627528772,0.00036442649234539286,-0.7513789080914737
Treatment: Endocrine,0.06875322097127166,0.03174197149826141,0.14891971641343765,1.1274158782362616e-11,-2.677231693041682
Treatment: Immunotherapy,0.35002627655562835,0.21081446950043745,0.581166912165595,4.952001569007262e-05,-1.049747051443506
Treatment: Other,0.10404361063482369,0.06033777042253272,0.17940790384074665,3.9410033820412573e-16,-2.2629451347091365
Treatment: Procedure,2.1409121334929605e-11,0.0,inf,0.9993875523103752,-24.567204054107016
Treatment: Radiation,0.7339049416467416,0.2685161408384463,2.0058997633872884,0.5464637905382177,-0.30937576604768263
Treatment: Targeted Therapy,0.2562666310724916,0.16536243756790642,0.39714331239387984,1.1184747750769373e-09,-1.3615368488892376
Arm: intervention,1.0859061971127344,0.8542330716712161,1.3804104617734791,0.5008598750359832,0.08241484311524705
Trial Start Year (per year),1.0018945199710707,0.9717929032160448,1.0329285445758225,0.9032097110626216,0.0018927276315020957
