Disease Site,N,Median TT,Mean % core_treatment,Mean Days core_treatment,Mean % imaging_diagnostics,Mean Days imaging_diagnostics,Mean % labs,Mean Days labs,Mean % clinic_visits,Mean Days clinic_visits,Mean % Research
CNS,17,32.5,63.62364567340708,26.735294117647058,8.463275880507203,2.5,13.00337058173034,5.147058823529412,14.76965184194641,1.2941176470588236,21.466646462237545
GYN,51,27.5,63.878974040399015,20.931372549019606,9.0983939427169,2.107843137254902,25.07594365478036,7.950980392156863,1.9466883621037319,0.4019607843137255,34.174337597497264
HN,29,24.0,79.95611169318491,23.379310344827587,7.651022122913017,1.103448275862069,4.05986770423431,0.9482758620689655,8.332998479667744,0.7068965517241379,11.710889827147325
Heme,151,24.0,62.918094150364574,23.52980132450331,8.978320551889647,1.6887417218543046,25.77288830793598,6.821192052980132,2.3703556387399636,0.8443708609271523,34.75120885982563
GI,91,21.0,82.11413907487535,21.747252747252748,5.883290057489728,1.1813186813186813,9.040933678785272,2.0,2.9616371888496515,0.34065934065934067,14.924223736275003
Skin,39,19.0,77.48313919741996,17.743589743589745,11.37551391095967,2.2051282051282053,8.336754804820897,1.9871794871794872,1.8599227210774738,0.16666666666666666,19.712268715780567
Thor,108,19.0,79.23099431432439,17.680555555555557,11.74643219094986,1.8703703703703705,7.1164989496668625,1.4907407407407407,1.8254131213847595,0.30092592592592593,18.86293114061672
GU,103,17.5,68.54110974490204,15.54368932038835,7.7007004623766315,1.0776699029126213,19.654360548537582,2.7524271844660193,3.936437212044466,0.18932038834951456,27.355061010914202
Breast,111,16.0,72.63488079316429,14.73873873873874,9.822306392831802,1.2477477477477477,9.67153123743063,1.6216216216216217,7.871281576573268,0.43243243243243246,19.49383763026243
Other,33,16.0,63.045868343507294,21.818181818181817,8.207578317458928,1.9848484848484849,19.191345933905048,8.833333333333334,9.555207405128725,0.7727272727272727,27.398924251363976
Multiple,11,6.0,34.16381863750285,4.909090909090909,9.84848484848485,0.5454545454545454,40.2196714356424,4.636363636363637,15.768025078369904,1.4090909090909092,50.06815628412724
