filename,nct,pipe_drugs,ct_drugs,n_pipe,n_ct,n_overlap,mismatch
30738780 CT_Summary_SoE.pdf,NCT02043678,"abiraterone,placebo,prednisolone,prednisone,radium","abiraterone,placebo,prednisolone,prednisone,radium",5,5,5,False
PIMD 27718847 a_Summary_SoE.pdf,NCT02142738,pembrolizumab,"carboplatin,cisplatin,gemcitabine,paclitaxel,pembrolizumab,pemetrexed",1,6,1,False
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,"anastrozole,tamoxifen,zoledronic","anastrozole,goserelin,tamoxifen,zoledronic",3,4,3,False
PMID 20525992 a_Summary_SoE.pdf,NCT00094653,,,0,0,0,False
PMID 20525993 a_Summary_SoE.pdf,NCT00471497,,,0,0,0,False
PMID 20525995 a_Summary_SoE.pdf,NCT00481247,,,0,0,0,False
PMID 20570559 CT a_Summary_SoE.pdf,NCT00312377,"docetaxel,placebo,vandetanib","docetaxel,vandetanib",3,2,2,False
PMID 20818862 a_Summary_SoE.pdf,NCT00065442,"placebo,sipuleucel","placebo,sipuleucel",2,2,2,False
PMID 20826719 a_Summary_SoE.pdf,NCT00075803,,,0,0,0,False
PMID 21121833 a_Summary_SoE.pdf,NCT00121992,,"cyclophosphamide,docetaxel,doxorubicin,fluorouracil",0,4,0,False
PMID 21282542 CT_Summary_SoE.pdf,NCT00364351,erlotinib,"erlotinib,vandetanib",1,2,1,False
PMID 21306237 a_Summary_SoE.pdf,NCT00428597,"placebo,sunitinib","placebo,sunitinib",2,2,2,False
PMID 21306238 a_Summary_SoE.pdf,NCT00510068,placebo,"everolimus,placebo",1,2,1,False
PMID 21410393 a_Summary_SoE.pdf,NCT00414648,placebo,placebo,1,1,1,False
PMID 21612468 a_Summary_SoE.pdf,NCT00638690,"abiraterone,placebo,prednisone","abiraterone,placebo,prednisolone,prednisone",3,4,3,False
PMID 21621716 CT_Summary_SoE.pdf,NCT00130728,"bevacizumab,erlotinib,placebo","bevacizumab,erlotinib,placebo",3,3,3,False
PMID 21631324 a_Summary_SoE.pdf,NCT00019682,,,0,0,0,False
PMID 21639808 a_Summary_SoE.pdf,NCT01006980,dacarbazine,"dacarbazine,vemurafenib",1,2,1,False
PMID 21639810 a_Summary_SoE.pdf,NCT00324155,"dacarbazine,ipilimumab,placebo","dacarbazine,ipilimumab,placebo",3,3,3,False
PMID 21751904 a_Summary_SoE.pdf,NCT00002597,,"flutamide,goserelin,leuprolide",0,3,0,False
PMID 21962393 CT_Summary_SoE.pdf,NCT00075829,,"dexamethasone,thalidomide",0,2,0,False
