filename,nct,pos_idx,arm_name,tt_12mo,original_label,ctgov_label,ctgov_type,ctgov_label_text,confidence,match_status,n_pipeline_arms,n_ctgov_arms,label_flipped
30738780 CT_Summary_SoE.pdf,NCT02043678,0,Arm B (Placebo + abiraterone acetate + prednisone/prednisolone),17.0,control,control,PLACEBO_COMPARATOR,Placebo + Abi/Pred,0.7,confident_2arm,2,2,False
30738780 CT_Summary_SoE.pdf,NCT02043678,0,Arm A (Radium-223 dichloride + abiraterone acetate + prednisone/prednisolone),17.0,intervention,intervention,EXPERIMENTAL,Radium-223 dichloride + Abi/Pred,0.75,confident_2arm,2,2,False
PIMD 27718847 a_Summary_SoE.pdf,NCT02142738,0,Arm B (Standard of Care Platinum-based Chemotherapy),24.0,control,control,ACTIVE_COMPARATOR,Paclitaxel+Carboplatin,0.0,count_mismatch,2,6,False
PIMD 27718847 a_Summary_SoE.pdf,NCT02142738,0,Arm A (Pembrolizumab Monotherapy),18.0,intervention,intervention,EXPERIMENTAL,Pembrolizumab,0.8,count_mismatch,2,6,False
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,0,Arm A (Nolvadex alone),3.0,control,control,ACTIVE_COMPARATOR,TC (Tamoxifen Control),0.3,count_mismatch,5,4,False
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,1,Arm C (Arimidex alone),3.0,control,control,ACTIVE_COMPARATOR,AC (Arimidex Control),0.3,count_mismatch,5,4,False
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,0,Arm C (Arimidex alone),3.0,intervention,intervention,,,0.0,count_mismatch_leftover,5,4,False
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,1,Arm B (Nolvadex plus zoledronate),3.0,intervention,control,ACTIVE_COMPARATOR,TZ (Tamoxifen+Zoledronate),0.4,count_mismatch,5,4,True
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,2,Arm D (Arimidex plus zoledronate),8.5,intervention,control,ACTIVE_COMPARATOR,AZ (Arimidex+Zoledronate),0.4,count_mismatch,5,4,True
PMID 20525992 a_Summary_SoE.pdf,NCT00094653,0,Arm A (Melanoma Peptide Vaccine Monotherapy),11.0,control,intervention,EXPERIMENTAL,2,0.033,uncertain,3,3,True
PMID 20525992 a_Summary_SoE.pdf,NCT00094653,0,Arm B (MDX-010 + Melanoma Peptide Vaccine),11.0,intervention,control,ACTIVE_COMPARATOR,1,0.5,confident,3,3,True
PMID 20525992 a_Summary_SoE.pdf,NCT00094653,1,Arm C (MDX-010 Monotherapy),11.0,intervention,control,ACTIVE_COMPARATOR,3,0.0,uncertain,3,3,True
PMID 20525993 a_Summary_SoE.pdf,NCT00471497,0,Arm C (Imatinib 400 mg QD),11.0,control,intervention,EXPERIMENTAL,imatinib 400mg QD (control arm),0.2,uncertain,3,3,True
