filename,nct,pos_idx,arm_name,tt_12mo,pipeline_label,ctgov_label,ctgov_type,pubmed_designation,pubmed_evidence,final_label,final_source,needs_human_review,match_status,n_pipeline_arms,n_ctgov_arms,pipeline_vs_final_flip
30738780 CT_Summary_SoE.pdf,NCT02043678,0,Arm B (Placebo + abiraterone acetate + prednisone/prednisolone),17.0,control,control,PLACEBO_COMPARATOR,,,control,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
30738780 CT_Summary_SoE.pdf,NCT02043678,0,Arm A (Radium-223 dichloride + abiraterone acetate + prednisone/prednisolone),17.0,intervention,intervention,EXPERIMENTAL,,,intervention,agreement(pipeline=ctgov),False,confident_2arm,2,2,False
PIMD 27718847 a_Summary_SoE.pdf,NCT02142738,0,Arm B (Standard of Care Platinum-based Chemotherapy),24.0,control,control,ACTIVE_COMPARATOR,control,either pembrolizumab ... or the investigator's choice of platinum-based chemotherapy,control,pubmed,False,count_mismatch,2,6,False
PIMD 27718847 a_Summary_SoE.pdf,NCT02142738,0,Arm A (Pembrolizumab Monotherapy),18.0,intervention,intervention,EXPERIMENTAL,intervention,pembrolizumab was associated with significantly longer progression-free and overall survival ... than was platinum-based chemotherapy,intervention,pubmed,False,count_mismatch,2,6,False
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,0,Arm A (Nolvadex alone),3.0,control,control,ACTIVE_COMPARATOR,control,"addition of zoledronic acid to endocrine therapy, as compared with endocrine therapy without zoledronic acid",control,pubmed,False,count_mismatch,5,4,False
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,1,Arm C (Arimidex alone),3.0,control,control,ACTIVE_COMPARATOR,control,"addition of zoledronic acid to endocrine therapy, as compared with endocrine therapy without zoledronic acid",control,pubmed,False,count_mismatch,5,4,False
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,0,Arm C (Arimidex alone),3.0,intervention,intervention,,control,"addition of zoledronic acid to endocrine therapy, as compared with endocrine therapy without zoledronic acid",control,pubmed,False,count_mismatch_leftover,5,4,True
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,1,Arm B (Nolvadex plus zoledronate),3.0,intervention,control,ACTIVE_COMPARATOR,intervention,The addition of zoledronic acid to adjuvant endocrine therapy improves disease-free survival,intervention,pubmed,False,count_mismatch,5,4,False
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,2,Arm D (Arimidex plus zoledronate),8.5,intervention,control,ACTIVE_COMPARATOR,intervention,The addition of zoledronic acid to adjuvant endocrine therapy improves disease-free survival,intervention,pubmed,False,count_mismatch,5,4,False
PMID 20525992 a_Summary_SoE.pdf,NCT00094653,0,Arm A (Melanoma Peptide Vaccine Monotherapy),11.0,control,intervention,EXPERIMENTAL,control,administered with or without a glycoprotein 100 (gp100) peptide vaccine was compared with gp100 alone,control,pubmed,False,uncertain,3,3,False
PMID 20525992 a_Summary_SoE.pdf,NCT00094653,0,Arm B (MDX-010 + Melanoma Peptide Vaccine),11.0,intervention,control,ACTIVE_COMPARATOR,intervention,"Ipilimumab, with or without a gp100 peptide vaccine, as compared with gp100 alone, improved overall survival",intervention,pubmed,False,confident,3,3,False
PMID 20525992 a_Summary_SoE.pdf,NCT00094653,1,Arm C (MDX-010 Monotherapy),11.0,intervention,control,ACTIVE_COMPARATOR,intervention,The median overall survival with ipilimumab alone was 10.1 months ... in the comparison with gp100 alone,intervention,pubmed,False,uncertain,3,3,False
PMID 20525993 a_Summary_SoE.pdf,NCT00471497,0,Arm C (Imatinib 400 mg QD),11.0,control,intervention,EXPERIMENTAL,control,"We evaluated the efficacy and safety of nilotinib, as compared with imatinib",control,pubmed,False,uncertain,3,3,False
