filename,nct,pos_idx,arm_name,tt_12mo,pipeline_label,ctgov_label,ctgov_type,pubmed_designation,pubmed_evidence,final_label,review_reason
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,0,Arm C (Arimidex alone),3.0,intervention,intervention,,control,"addition of zoledronic acid to endocrine therapy, as compared with endocrine therapy without zoledronic acid",control,CORRECTION_APPLIED
PMID 21962393 CT_Summary_SoE.pdf,NCT00075829,1,Arm B1 (Auto-Auto + Maintenance),51.0,intervention,control,ACTIVE_COMPARATOR,control,allogeneic HSCT ... compared with tandem autologous HSCT,control,CORRECTION_APPLIED
PMID 22257673 a_Summary_SoE.pdf,NCT00553358,1,Trastuzumab alone,22.0,intervention,control,ACTIVE_COMPARATOR,control,pCR rate was significantly higher in the group given lapatinib and trastuzumab ... than in the group given trastuzumab alone,control,CORRECTION_APPLIED
PMID 23358971 a_Summary_SoE.pdf,NCT00066573,0,Arm 2: Exemestane + Placebo,5.0,control,control,,intervention,exemestane ... could prove superior to anastrozole regarding efficacy and toxicity,intervention,CORRECTION_APPLIED
PMID 23358971 a_Summary_SoE.pdf,NCT00066573,1,Arm 3: Anastrozole + Celecoxib,5.0,intervention,control,ACTIVE_COMPARATOR,control,exemestane ... could prove superior to anastrozole,control,CORRECTION_APPLIED
PMID 23940225 a_Summary_SoE.pdf,NCT00093795,0,Group 2 (DD AC -> P),13.0,intervention,control,ACTIVE_COMPARATOR,control,incorporation of a fourth drug could improve outcomes relative to two standard regimens,control,CORRECTION_APPLIED
PMID 24401022 a_Summary_SoE.pdf,NCT01998880,0,Arm B (RClb: Rituximab + Chlorambucil),15.0,intervention,control,ACTIVE_COMPARATOR,control,obinutuzumab was superior to rituximab when each was combined with chlorambucil,control,CORRECTION_APPLIED
PMID 24733799 a_Summary_SoE.pdf,NCT01156142,1,Placebo then Doxepin Crossover,11.0,intervention,intervention,EXPERIMENTAL,control,patients were randomly allocated to a doxepin oral rinse or a placebo,control,CORRECTION_APPLIED
PMID 24881463 a_Summary_SoE.pdf,NCT00066703,2,TEXT Arm A (GnRH analogue plus Tamoxifen),14.0,intervention,intervention,,control,"exemestane plus ovarian suppression, as compared with tamoxifen plus ovarian suppression, significantly reduced recurrence.",control,CORRECTION_APPLIED
PMID 25267740 a_Summary_SoE.pdf,NCT00078949,1,Arm S2 (DHAP),20.5,intervention,intervention,EXPERIMENTAL,control,treatment with GDP is associated with a noninferior response rate... less toxicity and hospitalization,control,CORRECTION_APPLIED
PMID 25332243 a_Summary_SoE.pdf,NCT00006237,1,Arm 1 (One Year High-Dose Interferon Alpha-2b),164.0,intervention,intervention,,control,High-dose interferon (IFN) for 1 year (HDI) is the US Food and Drug Administration-approved adjuvant therapy,control,CORRECTION_APPLIED
PMID 25422488 a_Summary_SoE.pdf,NCT00070564,0,Arm 5 (AC q2w x 4 -> Paclitaxel q2w x 6),22.0,intervention,control,ACTIVE_COMPARATOR,control,that paclitaxel once per week was superior to six cycles of paclitaxel once every 2 weeks,control,CORRECTION_APPLIED
PMID 25682602 a_Summary_SoE.pdf,NCT00929695,1,Higher-dose prednisone (1 or 2 mg/kg/day),16.0,intervention,intervention,,control,a 50% decrease in the initial dose of prednisone... would suffice to control graft-versus-host disease,control,CORRECTION_APPLIED
PMID 26056177 a_Summary_SoE.pdf,NCT00507416,0,VD (VELCADE and Dexamethasone),53.0,intervention,intervention,EXPERIMENTAL,control,VTD and VMP did not appear to offer an advantage over VD in transplantation-ineligible patients,control,CORRECTION_APPLIED
PMID 28809610 a_Summary_SoE.pdf,NCT01308580,1,Arm B (Cabazitaxel 25 mg/m² + Prednisone),20.5,intervention,intervention,EXPERIMENTAL,control,the Currently Approved Dose (25 mg/m2)... C20 maintained >=50% of the OS benefit of C25,control,CORRECTION_APPLIED
PMID 29158011 CT_Summary_SoE.pdf,NCT00553410,0,Arm A (Continuous letrozole),2.0,intervention,intervention,,control,Extended adjuvant intermittent letrozole versus continuous letrozole in postmenopausal women with breast cancer,control,CORRECTION_APPLIED
PMID 29169877 CT_Summary_SoE.pdf,NCT00946712,0,Arm 1a (Carboplatin/Paclitaxel/Bevacizumab),53.0,intervention,intervention,,control,either with cetuximab (...cetuximab group) or without (control group),control,CORRECTION_APPLIED
PMID 30939090 a_Summary_SoE.pdf,NCT00118209,0,Arm A (R-CHOP),41.0,intervention,intervention,,control,"compared dose-adjusted ... (DA-EPOCH-R) with standard rituximab, cyclophosphamide, doxorubicin, vincristine, and prednisone (R-CHOP)",control,CORRECTION_APPLIED
PMID 31454045 a_Summary_SoE.pdf,NCT00567567,0,Regimen A (Single Myeloablative Consolidation),93.0,intervention,control,ACTIVE_COMPARATOR,control,To determine if tandem autologous transplant improves event-free survival (EFS) compared with single transplant,control,CORRECTION_APPLIED
PMID 32145827 a_Summary_SoE.pdf,NCT01435018,1,Etoposide plus ART (ET+ART),25.0,control,intervention,EXPERIMENTAL,intervention,either intravenous bleomycin and vincristine or oral etoposide (the investigational arms),intervention,CORRECTION_APPLIED
PMID 32813610 a_Summary_SoE.pdf,NCT00408005,0,Arm C (High Dose MTX),52.0,intervention,control,ACTIVE_COMPARATOR,control,patients ... randomly assigned to nelarabine ... and no nelarabine (n = 336),control,CORRECTION_APPLIED
