trial_reason,nct,nct_url,pmid,pubmed_url,arm_name,tt_12mo,pipeline_label,ctgov_label,ctgov_type,pubmed_designation,pubmed_evidence,final_label,arm_flag,human_decision (intervention/control/exclude),human_notes
PMID_MISMATCH,NCT01519700,https://clinicaltrials.gov/study/NCT01519700,26122726,https://pubmed.ncbi.nlm.nih.gov/26122726,Arm B (Radiosurgery + WBRT),18.0,control,intervention,EXPERIMENTAL,unresolved,,control,PMID_MISMATCH,,
PMID_MISMATCH,NCT01519700,https://clinicaltrials.gov/study/NCT01519700,26122726,https://pubmed.ncbi.nlm.nih.gov/26122726,Arm A (Radiosurgery alone),6.0,intervention,control,ACTIVE_COMPARATOR,unresolved,,intervention,PMID_MISMATCH,,
PMID_MISMATCH,NCT02101021,https://clinicaltrials.gov/study/NCT02101021,30105668,https://pubmed.ncbi.nlm.nih.gov/30105668,Arm A (VMP),42.0,control,intervention,EXPERIMENTAL,unresolved,,control,PMID_MISMATCH,,
PMID_MISMATCH,NCT02101021,https://clinicaltrials.gov/study/NCT02101021,30105668,https://pubmed.ncbi.nlm.nih.gov/30105668,Arm B (D-VMP),42.0,intervention,control,PLACEBO_COMPARATOR,unresolved,,intervention,PMID_MISMATCH,,
PMID_MISMATCH,NCT01539291,https://clinicaltrials.gov/study/NCT01539291,30995176,https://pubmed.ncbi.nlm.nih.gov/30995176,Arm B (Standard-dose GS-1101),14.0,control,intervention,EXPERIMENTAL,unresolved,,control,PMID_MISMATCH,,
PMID_MISMATCH,NCT01539291,https://clinicaltrials.gov/study/NCT01539291,30995176,https://pubmed.ncbi.nlm.nih.gov/30995176,Arm A (High-dose GS-1101),14.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PMID_MISMATCH,,
PMID_MISMATCH,NCT02883049,https://clinicaltrials.gov/study/NCT02883049,32496902,https://pubmed.ncbi.nlm.nih.gov/32496902,Very High Risk (VHR) B-ALL (Control Arm),76.0,control,control,ACTIVE_COMPARATOR,unresolved,,control,PMID_MISMATCH,,
PMID_MISMATCH,NCT02883049,https://clinicaltrials.gov/study/NCT02883049,32496902,https://pubmed.ncbi.nlm.nih.gov/32496902,Very High Risk (VHR) B-ALL - Control Arm,90.0,control,intervention,EXPERIMENTAL,unresolved,,control,PMID_MISMATCH,,
PMID_MISMATCH,NCT02883049,https://clinicaltrials.gov/study/NCT02883049,32496902,https://pubmed.ncbi.nlm.nih.gov/32496902,High Risk (HR) B-ALL (Arm A/B),76.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PMID_MISMATCH,,
PMID_MISMATCH,NCT02883049,https://clinicaltrials.gov/study/NCT02883049,32496902,https://pubmed.ncbi.nlm.nih.gov/32496902,Ph-like Dasatinib Arm,83.0,intervention,intervention,EXPERIMENTAL,unresolved,,intervention,PMID_MISMATCH,,
