filename,nct,trial_status,n_pipeline_arms,n_ctgov_arms,count_mismatch,any_label_flip,iv_12mo_orig,ct_12mo_orig,delta12_orig,iv_12mo_corr,ct_12mo_corr,delta12_corr,delta12_changed,n_corr_intervention_arms,n_corr_control_arms,corr_no_intervention,corr_no_control,min_confidence
30738780 CT_Summary_SoE.pdf,NCT02043678,confident,2,2,False,False,17.0,17.0,0.0,17.0,17.0,0.0,False,1,1,False,False,0.7
PIMD 27718847 a_Summary_SoE.pdf,NCT02142738,count_mismatch,2,6,True,False,18.0,24.0,-6.0,18.0,24.0,-6.0,False,1,1,False,False,0.0
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,count_mismatch,5,4,True,True,3.0,3.0,0.0,3.0,3.0,0.0,False,1,4,False,False,0.0
PMID 20525992 a_Summary_SoE.pdf,NCT00094653,uncertain,3,3,False,True,11.0,11.0,0.0,11.0,11.0,0.0,False,1,2,False,False,0.0
PMID 20525993 a_Summary_SoE.pdf,NCT00471497,uncertain,3,3,False,True,11.0,11.0,0.0,11.0,,,True,3,0,False,True,0.2
PMID 20525995 a_Summary_SoE.pdf,NCT00481247,confident,2,2,False,False,8.0,8.0,0.0,8.0,8.0,0.0,False,1,1,False,False,0.7
PMID 20570559 CT a_Summary_SoE.pdf,NCT00312377,confident,2,2,False,False,18.0,18.0,0.0,18.0,18.0,0.0,False,1,1,False,False,0.5
PMID 20818862 a_Summary_SoE.pdf,NCT00065442,confident,2,2,False,True,12.0,12.0,0.0,,12.0,,True,0,2,True,False,0.833
PMID 20826719 a_Summary_SoE.pdf,NCT00075803,confident,2,2,False,False,4.0,4.0,0.0,4.0,4.0,0.0,False,1,1,False,False,0.7
PMID 21121833 a_Summary_SoE.pdf,NCT00121992,confident,2,2,False,False,9.0,9.0,0.0,9.0,9.0,0.0,False,1,1,False,False,0.5
PMID 21282542 CT_Summary_SoE.pdf,NCT00364351,confident,2,2,False,False,16.0,16.0,0.0,16.0,16.0,0.0,False,1,1,False,False,0.5
PMID 21306237 a_Summary_SoE.pdf,NCT00428597,confident,2,2,False,False,15.0,15.0,0.0,15.0,15.0,0.0,False,1,1,False,False,0.75
PMID 21306238 a_Summary_SoE.pdf,NCT00510068,confident,2,2,False,False,15.0,15.0,0.0,15.0,15.0,0.0,False,1,1,False,False,0.5
PMID 21410393 a_Summary_SoE.pdf,NCT00414648,confident,2,2,False,False,5.0,5.0,0.0,5.0,5.0,0.0,False,1,1,False,False,0.5
