filename,pmid,arm_name,pubmed_designation,evidence,abstract_states_roles,design_summary
PIMD 27718847 a_Summary_SoE.pdf,27718847,Arm B (Standard of Care Platinum-based Chemotherapy),control,either pembrolizumab ... or the investigator's choice of platinum-based chemotherapy,True,SOC chemo vs experimental immunotherapy
PIMD 27718847 a_Summary_SoE.pdf,27718847,Arm A (Pembrolizumab Monotherapy),intervention,pembrolizumab was associated with significantly longer progression-free and overall survival ... than was platinum-based chemotherapy,True,SOC chemo vs experimental immunotherapy
PMID 19213681 a_Summary_SoE.pdf,19213681,Arm A (Nolvadex alone),control,"addition of zoledronic acid to endocrine therapy, as compared with endocrine therapy without zoledronic acid",True,endocrine backbone with/without added zoledronic acid
PMID 19213681 a_Summary_SoE.pdf,19213681,Arm C (Arimidex alone),control,"addition of zoledronic acid to endocrine therapy, as compared with endocrine therapy without zoledronic acid",True,endocrine backbone with/without added zoledronic acid
PMID 19213681 a_Summary_SoE.pdf,19213681,Arm C (Arimidex alone),control,"addition of zoledronic acid to endocrine therapy, as compared with endocrine therapy without zoledronic acid",True,endocrine backbone with/without added zoledronic acid
PMID 19213681 a_Summary_SoE.pdf,19213681,Arm B (Nolvadex plus zoledronate),intervention,The addition of zoledronic acid to adjuvant endocrine therapy improves disease-free survival,True,endocrine backbone with/without added zoledronic acid
PMID 19213681 a_Summary_SoE.pdf,19213681,Arm D (Arimidex plus zoledronate),intervention,The addition of zoledronic acid to adjuvant endocrine therapy improves disease-free survival,True,endocrine backbone with/without added zoledronic acid
PMID 20525992 a_Summary_SoE.pdf,20525992,Arm A (Melanoma Peptide Vaccine Monotherapy),control,administered with or without a glycoprotein 100 (gp100) peptide vaccine was compared with gp100 alone,True,vaccine comparator vs experimental antibody (alone or add-on)
PMID 20525992 a_Summary_SoE.pdf,20525992,Arm B (MDX-010 + Melanoma Peptide Vaccine),intervention,"Ipilimumab, with or without a gp100 peptide vaccine, as compared with gp100 alone, improved overall survival",True,vaccine comparator vs experimental antibody (alone or add-on)
PMID 20525992 a_Summary_SoE.pdf,20525992,Arm C (MDX-010 Monotherapy),intervention,The median overall survival with ipilimumab alone was 10.1 months ... in the comparison with gp100 alone,True,vaccine comparator vs experimental antibody (alone or add-on)
PMID 20525993 a_Summary_SoE.pdf,20525993,Arm C (Imatinib 400 mg QD),control,"We evaluated the efficacy and safety of nilotinib, as compared with imatinib",True,established comparator vs experimental agent
PMID 20525993 a_Summary_SoE.pdf,20525993,Arm A (Nilotinib 300 mg BID),intervention,Nilotinib ... was superior to imatinib in patients with newly diagnosed chronic-phase ... CML,True,established comparator vs experimental agent
PMID 20525993 a_Summary_SoE.pdf,20525993,Arm B (Nilotinib 400 mg BID),intervention,Nilotinib at a dose of either 300 mg or 400 mg twice daily was superior to imatinib,True,established comparator vs experimental agent
PMID 20818862 a_Summary_SoE.pdf,20818862,Arm B (Placebo),control,randomly assigned 512 patients in a 2:1 ratio to receive either sipuleucel-T ... or placebo,True,placebo-controlled immunotherapy
PMID 20818862 a_Summary_SoE.pdf,20818862,Arm A (Sipuleucel-T),intervention,The use of sipuleucel-T prolonged overall survival among men with metastatic castration-resistant prostate cancer,True,placebo-controlled immunotherapy
PMID 21631324 a_Summary_SoE.pdf,21631324,Arm 2: High-dose IL-2 alone,control,Patients were randomly assigned to receive interleukin-2 alone ... followed by interleukin-2,True,IL-2 backbone with/without added vaccine
PMID 21631324 a_Summary_SoE.pdf,21631324,Arm 1: gp100:209-217(210M) peptide vaccine + high-dose IL-2,intervention,the response rate was higher and progression-free survival longer with vaccine and interleukin-2 than with interleukin-2 alone,True,IL-2 backbone with/without added vaccine
PMID 21962393 CT_Summary_SoE.pdf,21962393,Arm B2 (Auto-Auto + Observation),control,allogeneic HSCT ... compared with tandem autologous HSCT,True,established tandem-autologous comparator vs experimental allogeneic strategy
PMID 21962393 CT_Summary_SoE.pdf,21962393,Arm A (Auto-Allo: ASCT followed by NMSCT),intervention,we aimed to assess effectiveness of allogeneic HSCT with non-myeloablative conditioning after autologous HSCT compared with tandem autologous HSCT,True,established tandem-autologous comparator vs experimental allogeneic strategy
PMID 21962393 CT_Summary_SoE.pdf,21962393,Arm B1 (Auto-Auto + Maintenance),control,allogeneic HSCT ... compared with tandem autologous HSCT,True,established tandem-autologous comparator vs experimental allogeneic strategy
PMID 21991949 a_Summary_SoE.pdf,21991949,AC→T (Doxorubicin and Cyclophosphamide followed by Docetaxel),unresolved,,False,truncated abstract; only the new nonanthracycline regimen identifiable
PMID 21991949 a_Summary_SoE.pdf,21991949,AC→TH (Doxorubicin and Cyclophosphamide followed by Docetaxel and Trastuzumab),unresolved,,False,truncated abstract; only the new nonanthracycline regimen identifiable
PMID 21991949 a_Summary_SoE.pdf,21991949,"TCH (Docetaxel, Carboplatin and Trastuzumab)",intervention,We wanted to evaluate the efficacy and safety of a new nonanthracycline regimen with trastuzumab,False,truncated abstract; only the new nonanthracycline regimen identifiable
PMID 22204724 a_Summary_SoE.pdf,22204724,Arm I (Standard Chemotherapy + Placebo),control,The control treatment was chemotherapy with placebo added in cycles 2 through 22,True,placebo-controlled add-on
PMID 22204724 a_Summary_SoE.pdf,22204724,Arm II (Concurrent Bevacizumab + Placebo Maintenance),intervention,bevacizumab-initiation treatment was chemotherapy with bevacizumab ... added in cycles 2 through 6,True,placebo-controlled add-on
PMID 22204724 a_Summary_SoE.pdf,22204724,Arm III (Extended Bevacizumab),intervention,Bevacizumab-throughout treatment was chemotherapy with bevacizumab added in cycles 2 through 22,True,placebo-controlled add-on
