filename,arm_name,current_label,12mo_TT,suspect_flag,reason,n_controls_in_trial,n_interventions_in_trial,max_intervention_TT
PMID 19213681 a_Summary_SoE.pdf,Arm A (Nolvadex alone),control,3.0,Likely correct,No active drugs or has control keyword,3,2,8.5
PMID 19213681 a_Summary_SoE.pdf,Arm C (Arimidex alone),control,3.0,Likely correct,No active drugs or has control keyword,3,2,8.5
PMID 19213681 a_Summary_SoE.pdf,Arm C (Arimidex alone),control,3.0,Likely correct,No active drugs or has control keyword,3,2,8.5
PMID 21962393 CT_Summary_SoE.pdf,Arm B2 (Auto-Auto + Observation),control,36.0,Likely correct,Has control keyword,2,1,45.0
PMID 21962393 CT_Summary_SoE.pdf,Arm B1 (Auto-Auto + Maintenance),control,51.0,Likely correct,No active drugs or has control keyword,2,1,45.0
PMID 22965965 a_Summary_SoE.pdf,"Placebo + XELOX (Arms C, E)",control,20.0,Likely correct,Has control keyword,2,2,28.0
PMID 22965965 a_Summary_SoE.pdf,"Placebo + FOLFOX (Arms C, E)",control,28.0,Likely correct,Has control keyword,2,2,28.0
PMID 23358971 a_Summary_SoE.pdf,Arm 4: Anastrozole + Placebo,control,5.0,Likely correct,Has control keyword,2,2,5.0
PMID 23358971 a_Summary_SoE.pdf,Arm 3: Anastrozole + Celecoxib,control,5.0,Ambiguous,Active drug(s): anastrozole; no control keyword,2,2,5.0
PMID 23940225 a_Summary_SoE.pdf,Group 1 (TAC),control,11.0,Likely correct,No active drugs or has control keyword,2,1,13.0
PMID 23940225 a_Summary_SoE.pdf,Group 2 (DD AC -> P),control,13.0,Likely correct,No active drugs or has control keyword,2,1,13.0
PMID 24401022 a_Summary_SoE.pdf,Arm C (Clb: Chlorambucil alone),control,15.0,Ambiguous,Active drug(s): chlorambucil; no control keyword,2,1,17.0
PMID 24401022 a_Summary_SoE.pdf,Arm B (RClb: Rituximab + Chlorambucil),control,15.0,Ambiguous,"Active drug(s): rituximab, chlorambucil; no control keyword",2,1,17.0
PMID 24881463 a_Summary_SoE.pdf,SOFT Arm A (Tamoxifen alone),control,5.0,Ambiguous,Active drug(s): tamoxifen; no control keyword,3,3,14.0
PMID 24881463 a_Summary_SoE.pdf,TEXT Arm A (GnRH analogue + Tamoxifen),control,14.0,Ambiguous,Active drug(s): tamoxifen; no control keyword,3,3,14.0
PMID 24881463 a_Summary_SoE.pdf,TEXT Arm A (GnRH analogue plus Tamoxifen),control,14.0,Ambiguous,Active drug(s): tamoxifen; no control keyword,3,3,14.0
