Group,N,Median,Q1,Q3,IQR,Mean,SD
Sponsor: Industry,502,19.0,15.0,27.0,12.0,23.6,16.2
Sponsor: Non-Industry,140,16.5,7.8,40.0,32.2,25.2,23.3
Site: Breast,98,16.0,9.0,20.8,11.8,17.2,12.1
Site: CNS,13,41.0,22.0,53.0,31.0,38.1,20.8
Site: GI,79,20.0,16.5,28.0,11.5,24.2,13.9
Site: GU,90,18.0,11.2,24.0,12.8,19.8,12.3
Site: GYN,40,24.0,17.0,36.0,19.0,27.4,16.4
Site: HN,26,25.0,16.0,39.0,23.0,26.8,18.1
Site: Heme,134,22.0,14.0,42.0,28.0,31.2,23.7
Site: Multiple,11,6.0,3.5,14.0,10.5,11.6,15.8
Site: Other,28,17.0,10.0,49.2,39.2,30.4,30.4
Site: Skin,29,19.0,16.0,25.0,9.0,23.6,17.8
Site: Thor,94,18.0,17.0,25.5,8.5,20.2,9.4
Modality: Chemotherapy,83,31.0,20.0,52.5,32.5,37.3,25.5
Modality: Endocrine,40,14.0,6.8,17.0,10.2,14.0,10.6
Modality: Immunotherapy,137,21.0,18.0,27.0,9.0,24.8,11.9
Modality: Other,82,12.0,3.2,18.8,15.5,15.3,17.1
Modality: Radiation,11,27.0,12.5,32.5,20.0,24.5,14.7
Modality: Targeted Therapy,283,19.0,15.0,27.5,12.5,23.9,16.6
