Disease_Site,N,Slope,CI_lower,CI_upper,R2,p_OLS,Spearman_rho,p_Spearman
Multiple,11,1.8759960159362552,-0.5336367200258043,4.285628751898315,0.25630628869983574,0.11205367818019547,0.37268917921785244,0.25897841977758046
HN,26,0.9335758457621322,-0.6809960367023271,2.548147728226591,0.05601629688964371,0.24438249843228305,0.3113830561923963,0.12151475794244053
Breast,98,0.6834506613030988,0.238254837787915,1.1286464848182827,0.08819742612336401,0.0029824696565012884,0.34253849069007775,0.0005553849313424701
Heme,134,0.47820616336970934,-0.5191955103736742,1.4756078371130927,0.006768039508455614,0.344657255653273,0.062047685325668164,0.4763338312358508
GI,79,-0.14918526052593628,-0.9531394405165295,0.654768919464657,0.0017700380801665139,0.7127649384953285,-0.045303387534447494,0.6917724939048603
Thor,94,-0.3592897907419281,-0.8135615347230902,0.09498195323923414,0.026119940906151995,0.11965680756764804,-0.058793668812769456,0.5735124315488151
GU,90,-0.3923783490442805,-0.8517010600874144,0.06694436199885351,0.03171164026810991,0.09310760516887374,0.042295952470320725,0.6922356636953002
CNS,13,-0.8827586206897959,-3.626407091878467,1.8608898504988751,0.043602076191860406,0.49357971179832916,-0.11294808698670127,0.7133315647344711
GYN,40,-1.009308510638289,-2.1928288515919205,0.17421183031534238,0.07272931611533773,0.09239718387908678,-0.2884597054234582,0.07105650159445433
Skin,29,-1.2663290615956058,-2.33124854517928,-0.2014095780119316,0.18065351020761566,0.021538708934920582,-0.17443290012852122,0.3654674490792176
Other,28,-2.13633233876523,-4.535271309387179,0.2626066318567184,0.11416340228055177,0.07865938787010722,-0.30719639305192403,0.11180239986284755
