filename,NCT Number,pmid,conf_flip,uncertain,mismatch,no_iv,no_ct,plac_iv
PIMD 27718847 a_Summary_SoE.pdf,NCT02142738,27718847,False,False,True,False,False,False
PMID 19213681 a_Summary_SoE.pdf,NCT00295646,19213681,False,False,True,False,False,False
PMID 20525992 a_Summary_SoE.pdf,NCT00094653,20525992,True,True,False,False,False,False
PMID 20525993 a_Summary_SoE.pdf,NCT00471497,20525993,False,True,False,False,True,False
PMID 20818862 a_Summary_SoE.pdf,NCT00065442,20818862,True,False,False,True,False,False
PMID 21631324 a_Summary_SoE.pdf,NCT00019682,21631324,True,False,False,False,True,False
PMID 21962393 CT_Summary_SoE.pdf,NCT00075829,21962393,False,True,False,True,False,False
PMID 21991949 a_Summary_SoE.pdf,NCT00021255,21991949,True,False,False,False,True,False
PMID 22204724 a_Summary_SoE.pdf,NCT00262847,22204724,False,True,False,False,False,True
PMID 22257673 a_Summary_SoE.pdf,NCT00553358,22257673,True,False,False,False,False,False
PMID 22454414 a_Summary_SoE.pdf,NCT00110214,22454414,True,False,False,False,True,True
PMID 22551107 a_Summary_SoE.pdf,NCT00094497,22551107,True,False,False,True,False,False
PMID 22571200 a_Summary_SoE.pdf,NCT00405756,22571200,False,True,False,False,True,True
PMID 22585697 a_Summary_SoE.pdf,NCT00317642,22585697,True,False,False,False,True,True
PMID 22663011 a_Summary_SoE.pdf,NCT01245062,22663011,False,True,False,False,False,False
PMID 22689805 a_Summary_SoE.pdf,NCT00260832,22689805,True,False,False,False,False,False
PMID 22735384 a_Summary_SoE.pdf,NCT01227889,22735384,False,False,True,False,False,False
PMID 22808955 a_Summary_SoE.pdf,NCT00007644,22808955,True,False,False,True,False,False
PMID 22915657 a_Summary_SoE.pdf,NCT00475085,22915657,False,False,True,False,False,True
PMID 22965965 a_Summary_SoE.pdf,NCT00399035,22965965,False,True,False,False,False,False
PMID 23075175 a_Summary_SoE.pdf,NCT00075816,23075175,True,False,False,True,False,False
PMID 23295793 a_Summary_SoE.pdf,NCT00106691,23295793,True,False,False,False,True,True
PMID 23358971 a_Summary_SoE.pdf,NCT00066573,23358971,False,False,True,False,False,False
PMID 23509322 a_Summary_SoE.pdf,NCT00281658,23509322,False,False,True,False,False,False
PMID 23724913 a_Summary_SoE.pdf,NCT00932893,23724913,True,False,False,False,False,False
PMID 23835708 a_Summary_SoE.pdf,NCT00961415,23835708,False,False,True,False,False,False
PMID 23940216 a_Summary_SoE.pdf,NCT00777153,23940216,False,True,False,False,False,False
PMID 23940225 a_Summary_SoE.pdf,NCT00093795,23940225,False,True,False,False,False,False
PMID 23960180 a_Summary_SoE.pdf,NCT01144364,23960180,False,False,True,False,False,False
PMID 24081940 a_Summary_SoE.pdf,NCT00354432,24081940,True,True,False,False,False,False
PMID 24101040 a_Summary_SoE.pdf,NCT00304031,24101040,False,False,True,False,True,False
