filename,intervention_type,pos_idx,core_treatment_screening,core_treatment_1_month,core_treatment_3_months,core_treatment_6_months,core_treatment_9_months,core_treatment_12_months,imaging_diagnostics_screening,imaging_diagnostics_1_month,imaging_diagnostics_3_months,imaging_diagnostics_6_months,imaging_diagnostics_9_months,imaging_diagnostics_12_months,labs_screening,labs_1_month,labs_3_months,labs_6_months,labs_9_months,labs_12_months,clinic_visits_screening,clinic_visits_1_month,clinic_visits_3_months,clinic_visits_6_months,clinic_visits_9_months,clinic_visits_12_months,total_screening,total_1_month,total_3_months,total_6_months,total_9_months,total_12_months,n_runs,sponsor_binary,disease_site,treatment_modality,start_year,pct_core_treatment,pct_imaging_diagnostics,pct_labs,pct_clinic_visits,pct_research
30738780 CT_Summary_SoE.pdf,control,0,0.0,2.0,4.0,6.0,6.0,6.0,1.5,0.0,0.0,1.0,2.0,3.0,0.5,1.0,3.0,3.0,5.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,10.0,13.0,16.5,2,Industry,GU,Endocrine,2014,36.36363636363637,18.181818181818183,45.45454545454545,0.0,63.63636363636364
30738780 CT_Summary_SoE.pdf,intervention,0,0.0,2.0,4.0,6.0,6.0,6.0,1.5,0.0,0.0,1.0,2.0,3.0,0.5,1.0,3.0,3.0,5.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,10.0,13.0,16.5,2,Industry,GU,Endocrine,2014,36.36363636363637,18.181818181818183,45.45454545454545,0.0,63.63636363636364
PIMD 27718847 a_Summary_SoE.pdf,control,0,0.0,4.0,9.0,12.0,12.0,12.0,1.0,0.5,0.5,1.0,3.0,4.0,0.5,0.5,0.5,1.5,2.0,2.5,0.0,0.0,0.0,0.5,2.5,5.5,1.5,5.0,10.0,15.0,19.5,24.0,2,Industry,Thor,Immunotherapy,2014,50.0,16.666666666666664,10.416666666666668,22.916666666666664,27.083333333333332
PIMD 27718847 a_Summary_SoE.pdf,intervention,0,0.0,2.0,5.0,9.0,13.0,18.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.0,6.0,10.0,14.0,19.0,2,Industry,Thor,Immunotherapy,2014,94.73684210526315,2.631578947368421,2.631578947368421,0.0,5.263157894736842
PMID 19213681 a_Summary_SoE.pdf,control,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.5,1.5,2.5,2,Industry,Breast,Endocrine,1999,0.0,80.0,0.0,20.0,80.0
PMID 19213681 a_Summary_SoE.pdf,control,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1,Industry,Breast,Endocrine,1999,0.0,66.66666666666666,0.0,33.33333333333333,66.66666666666666
PMID 19213681 a_Summary_SoE.pdf,intervention,0,0.0,0.5,0.5,1.0,1.0,1.5,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.5,1.5,2.5,2,Industry,Breast,Endocrine,1999,60.0,40.0,0.0,0.0,40.0
PMID 19213681 a_Summary_SoE.pdf,intervention,1,0.0,1.5,2.5,4.5,6.0,8.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,4.5,6.0,8.5,2,Industry,Breast,Endocrine,1999,100.0,0.0,0.0,0.0,0.0
PMID 19213681 a_Summary_SoE.pdf,intervention,2,0.0,2.0,4.0,7.0,10.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,7.0,10.0,14.0,1,Industry,Breast,Endocrine,1999,100.0,0.0,0.0,0.0,0.0
PMID 20525992 a_Summary_SoE.pdf,control,0,0.0,2.0,4.0,4.0,4.0,4.0,1.0,0.0,1.0,4.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,8.0,10.0,11.0,2,Industry,Skin,Targeted Therapy,2004,36.36363636363637,63.63636363636363,0.0,0.0,63.63636363636363
PMID 20525992 a_Summary_SoE.pdf,intervention,0,0.0,2.0,4.0,4.0,4.0,4.0,1.0,0.0,1.0,4.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,8.0,10.0,11.0,2,Industry,Skin,Targeted Therapy,2004,36.36363636363637,63.63636363636363,0.0,0.0,63.63636363636363
PMID 20525992 a_Summary_SoE.pdf,intervention,1,0.0,2.0,4.0,4.0,4.0,4.0,1.0,0.0,1.0,4.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,8.0,10.0,11.0,2,Industry,Skin,Targeted Therapy,2004,36.36363636363637,63.63636363636363,0.0,0.0,63.63636363636363
PMID 20525993 a_Summary_SoE.pdf,control,0,0.0,0.5,0.5,0.5,0.5,0.5,1.0,1.5,2.5,3.5,4.5,5.5,0.0,2.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,6.0,9.0,10.0,11.0,2,Industry,Heme,Other,2007,4.545454545454546,50.0,45.45454545454545,0.0,95.45454545454545
