filename,intervention_screening,intervention_1_month,intervention_3_months,intervention_6_months,intervention_9_months,intervention_12_months,intervention_intensity,intervention_cycle_length,control_screening,control_1_month,control_3_months,control_6_months,control_9_months,control_12_months,control_intensity,control_cycle_length,delta_screening,delta_1_month,delta_3_months,delta_6_months,delta_9_months,delta_12_months,delta_intensity,pmid,publication_year
30738780 CT_Summary_SoE.pdf,2.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,2.0,3.0,7.0,10.0,13.0,17.0,1.4166666666666667,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
PIMD 27718847 a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,1.0,4.0,9.0,15.0,19.0,24.0,2.0,21.0,0.0,-2.0,-4.0,-6.0,-6.0,-6.0,-0.5,,
PMID 19213681 a_Summary_SoE.pdf,1.0,1.0,1.0,2.0,2.0,3.0,0.25,180.0,1.0,1.0,1.0,2.0,2.0,3.0,0.25,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19213681.0,2009.0
PMID 20525992 a_Summary_SoE.pdf,2.0,2.0,5.0,8.0,10.0,11.0,0.9166666666666666,21.0,2.0,2.0,5.0,8.0,10.0,11.0,0.9166666666666666,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20525992.0,2010.0
PMID 20525993 a_Summary_SoE.pdf,1.0,4.0,6.0,9.0,10.0,11.0,0.9166666666666666,28.0,1.0,4.0,6.0,9.0,10.0,11.0,0.9166666666666666,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20525993.0,2010.0
PMID 20525995 a_Summary_SoE.pdf,2.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,0.0,2.0,3.0,5.0,6.0,7.0,8.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20525995.0,2010.0
PMID 20570559 CT a_Summary_SoE.pdf,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,1.0,2.0,5.0,9.0,13.0,18.0,1.5,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20570559.0,2010.0
PMID 20818862 a_Summary_SoE.pdf,3.0,5.0,7.0,9.0,11.0,12.0,1.0,14.0,3.0,5.0,7.0,9.0,11.0,12.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20818862.0,2010.0
PMID 20826719 a_Summary_SoE.pdf,2.0,1.0,1.0,3.0,3.0,4.0,0.3333333333333333,0.0,2.0,1.0,1.0,3.0,3.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20826719.0,2010.0
PMID 21121833 a_Summary_SoE.pdf,2.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,2.0,2.0,5.0,7.0,8.0,9.0,0.75,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21121833.0,2010.0
