Disease Site,N,Median TT,Mean % core_treatment,Mean Days core_treatment,Mean % imaging_diagnostics,Mean Days imaging_diagnostics,Mean % labs,Mean Days labs,Mean % clinic_visits,Mean Days clinic_visits,Mean % Research
CNS,19,32.5,66.94857243698856,28.236842105263158,7.896291374866768,2.3421052631578947,11.733899596960313,4.657894736842105,13.29592330797634,1.1842105263157894,19.630190971827084
GYN,51,30.0,63.87633857761175,20.970588235294116,9.29605365176181,2.1862745098039214,24.81766830162834,7.950980392156863,2.0099394689981023,0.4215686274509804,34.113721953390154
Heme,157,24.0,63.15121591952449,23.6656050955414,8.789584165886852,1.6687898089171975,25.749119893847766,6.875796178343949,2.3482230525145034,0.8312101910828026,34.53870405973463
HN,30,23.5,77.9258286049994,22.666666666666668,7.395988052149249,1.0666666666666667,3.9245387807598324,0.9166666666666666,10.75364456209152,0.9666666666666667,11.320526832909081
GI,93,21.0,82.07762332424892,21.795698924731184,5.8824570077281,1.1720430107526882,9.141973601514177,1.989247311827957,2.8979460665087995,0.3333333333333333,15.024430609242282
Other,33,20.0,62.87668886398299,23.666666666666668,8.31207152540041,2.090909090909091,20.251205614454385,9.909090909090908,8.560033996162213,0.7727272727272727,28.563277139854797
Skin,40,19.0,78.04606071748447,21.4,11.091126063185682,2.15,8.128335934700374,1.9375,1.813424653050537,0.1625,19.21946199788605
Thor,110,19.0,78.69952169042759,17.681818181818183,11.532860696568951,1.8363636363636364,6.987108059672919,1.4636363636363636,2.7013147009959457,0.35,18.519968756241873
GU,105,17.5,67.74247723977642,15.347619047619048,8.05171630610402,1.1428571428571428,20.180145386015514,2.8523809523809525,3.861457455624571,0.18571428571428572,28.231861692119526
Breast,119,15.5,71.57754978543905,14.306722689075631,10.785422972445996,1.2605042016806722,9.852967235255065,1.588235294117647,7.784060006859874,0.4579831932773109,20.638390207701057
Multiple,11,6.0,34.16381863750285,4.909090909090909,9.84848484848485,0.5454545454545454,40.2196714356424,4.636363636363637,15.768025078369904,1.4090909090909092,50.06815628412724
