Predictor,OR,CI_lower,CI_upper,p_value,coefficient
Sponsor: Industry,1.3065955427026468,0.9006672386080379,1.8954746426092424,0.1588886226038838,0.2674249320476906
Site: Breast,0.4934607215428723,0.32699444239735165,0.7446716278123028,0.0007678109478521037,-0.7063120148813027
Site: CNS,1.8148354172183168,0.6602714011232479,4.988293580468413,0.24796535977763867,0.595994784386647
Site: GI,0.9361618067445924,0.6025430212479855,1.4545001726052762,0.7691952403110104,-0.0659669469912957
Site: GU,0.37494400627052965,0.2384295910686372,0.5896206389823696,2.1653552303783922e-05,-0.9809785807724823
Site: GYN,1.0299176561268775,0.583082185411949,1.819178162084428,0.9191067687756838,0.02947885353784611
Site: HN,1.0939708894137874,0.5699897359490682,2.099638346806531,0.7871536278709164,0.08981409433477495
Site: Multiple,0.12349368019308493,0.0262157227775074,0.5817382636009847,0.00816768058833782,-2.0915652967490916
Site: Other,0.5536747717862686,0.28728310270867813,1.0670859163737245,0.07739631089077194,-0.5911778191562587
Site: Skin,0.5596483186944918,0.30403316746260173,1.0301712909533074,0.06225397653868574,-0.5804466948602682
Site: Thor,0.47541064848319703,0.31446084462472434,0.7187390371635591,0.00042181504219963693,-0.7435763253098484
Treatment: Endocrine,0.07046769388865273,0.03253064274173716,0.15264671901529395,1.7440062154648256e-11,-2.652600916903338
Treatment: Immunotherapy,0.3499175036600764,0.21104789274059607,0.5801633827170983,4.692008134791827e-05,-1.050057856109544
Treatment: Other,0.10461943253949911,0.06068919176643382,0.1803488454255611,4.480836630238942e-16,-2.257425965069875
Treatment: Procedure,5.594927410799893e-10,0.0,inf,0.9972801957405745,-21.30399056220177
Treatment: Radiation,0.7393281144010618,0.27027491669939685,2.0224076559489674,0.5563790058997922,-0.3020134587354597
Treatment: Targeted Therapy,0.2578166142196032,0.1665013166841042,0.3992124980835393,1.2314392065894006e-09,-1.3555067443953397
Arm: intervention,1.0973152080181305,0.8629262559843317,1.395369137742097,0.44876689946038917,0.09286647640834986
Trial Start Year (per year),1.0039282188388974,0.9737091116231837,1.035085177441657,0.8014922905686794,0.00392052353325421
