filename,arm_name,current_label,12mo_TT,suspect_flag,reason,n_controls_in_trial,n_interventions_in_trial,max_intervention_TT
PMID 19213681 a_Summary_SoE.pdf,Arm A (Nolvadex alone),control,3.0,Likely correct,No active drugs or has control keyword,2,3,8.5
PMID 19213681 a_Summary_SoE.pdf,Arm C (Arimidex alone),control,3.0,Likely correct,No active drugs or has control keyword,2,3,8.5
PMID 22915657 a_Summary_SoE.pdf,Arm 3 (Aprepitant + Palonosetron + Dexamethasone),control,1.0,Likely correct,No active drugs or has control keyword,2,3,1.5
PMID 22915657 a_Summary_SoE.pdf,"Arm 2: Granisetron + Dexamethasone (Day 1), Compazine + Placebo (Days 2 & 3)",control,1.0,Likely correct,Has control keyword,2,3,1.5
PMID 22965965 a_Summary_SoE.pdf,"Placebo + XELOX (Arms C, E)",control,20.0,Likely correct,Has control keyword,2,2,28.0
PMID 22965965 a_Summary_SoE.pdf,"Placebo + FOLFOX (Arms C, E)",control,28.0,Likely correct,Has control keyword,2,2,28.0
PMID 23358971 a_Summary_SoE.pdf,Arm 2: Exemestane + Placebo,control,5.0,Likely correct,Has control keyword,2,2,5.0
PMID 23358971 a_Summary_SoE.pdf,Arm 4: Anastrozole + Placebo,control,5.0,Likely correct,Has control keyword,2,2,5.0
PMID 24881463 a_Summary_SoE.pdf,SOFT Arm A (Tamoxifen alone),control,5.0,Ambiguous,Active drug(s): tamoxifen; no control keyword,2,4,14.0
PMID 24881463 a_Summary_SoE.pdf,TEXT Arm A (GnRH analogue + Tamoxifen),control,14.0,Ambiguous,Active drug(s): tamoxifen; no control keyword,2,4,14.0
PMID 24888818 a_Summary_SoE.pdf,Arm A (Low Risk Group - Regular Treatment),control,5.0,Likely correct,No active drugs or has control keyword,3,1,8.0
PMID 24888818 a_Summary_SoE.pdf,Arm B (Moderate Risk Group - Maintain Current Therapy),control,7.0,Likely correct,No active drugs or has control keyword,3,1,8.0
PMID 24888818 a_Summary_SoE.pdf,Arm C1 (High Risk Group - Maintain Current Therapy),control,15.5,Likely correct,No active drugs or has control keyword,3,1,8.0
PMID 25311218 a_Summary_SoE.pdf,RER Standard (ABVE-PC x4 + IFRT),control,37.0,Likely correct,Has control keyword,2,2,43.0
PMID 25311218 a_Summary_SoE.pdf,SER Standard (ABVE-PC x4 + IFRT),control,36.5,Likely correct,Has control keyword,2,2,43.0
PMID 26351350 a_Summary_SoE.pdf,Arm F: GM-CSF Placebo (HLA-A2-),control,14.0,Likely correct,Has control keyword,2,4,14.5
PMID 26351350 a_Summary_SoE.pdf,Arm D: GM-CSF Placebo + Peptide Placebo (HLA-A2+),control,14.5,Likely correct,Has control keyword,2,4,14.5
PMID 27264120 a_Summary_SoE.pdf,Arm 2 (Placebo),control,2.0,Likely correct,Has control keyword,2,2,3.0
PMID 27264120 a_Summary_SoE.pdf,Arm 2: Placebo (MA.17 Core Study),control,3.0,Likely correct,Has control keyword,2,2,3.0
PMID 28438473 a_Summary_SoE.pdf,Arm I/V (No Surgery + Chemotherapy),control,29.0,Likely correct,No active drugs or has control keyword,2,3,36.0
PMID 28438473 a_Summary_SoE.pdf,Arm III/VII (Surgery + CT/GC),control,31.0,Likely correct,No active drugs or has control keyword,2,3,36.0
PMID 29169877 CT_Summary_SoE.pdf,Arm 1b (Carboplatin/Paclitaxel),control,12.0,Ambiguous,"Active drug(s): paclitaxel, carboplatin; no control keyword",2,3,53.0
PMID 29169877 CT_Summary_SoE.pdf,Arm 1a (Carboplatin/Paclitaxel/Bevacizumab),control,18.0,Ambiguous,"Active drug(s): paclitaxel, carboplatin, bevacizumab; no control keyword",2,3,53.0
PMID 29238824 a_Summary_SoE.pdf,Placebo Arm,control,3.0,Likely correct,Has control keyword,2,1,3.0
PMID 29238824 a_Summary_SoE.pdf,Observational Arm,control,3.0,Likely correct,Has control keyword,2,1,3.0
PMID 29573941 a_Summary_SoE.pdf,Vemurafenib (960mg BID),control,14.0,Ambiguous,Active drug(s): vemurafenib; no control keyword,2,3,14.0
PMID 29573941 a_Summary_SoE.pdf,Vemurafenib (960mg BID),control,14.0,Ambiguous,Active drug(s): vemurafenib; no control keyword,2,3,14.0
PMID 30052729 CT_Summary_SoE.pdf,Arm D (Physician's Choice - BSC Only),control,18.0,Likely correct,Has control keyword,3,1,27.0
PMID 30052729 CT_Summary_SoE.pdf,Arm C (Physician's Choice - Irinotecan + BSC),control,27.0,Likely correct,Has control keyword,3,1,27.0
PMID 30052729 CT_Summary_SoE.pdf,Arm B (Physician's Choice - Paclitaxel + BSC),control,40.0,Likely correct,Has control keyword,3,1,27.0
PMID 31345387 CT_Summary_SoE.pdf,Arm B (Standard Dose Radiation + Carboplatin),control,48.0,Likely correct,Has control keyword,2,1,43.0
PMID 31345387 CT_Summary_SoE.pdf,Arm C (Non-responders: Standard CRT + Carboplatin + Erbitux + Paclitaxel),control,48.0,Likely correct,Has control keyword,2,1,43.0
PMID 31582355 a_Summary_SoE.pdf,Arm B (Control - Paclitaxel),control,19.0,Ambiguous,Active drug(s): paclitaxel; no control keyword,2,1,28.0
PMID 31582355 a_Summary_SoE.pdf,Paclitaxel,control,50.5,Suspect,Active drug(s): paclitaxel; TT (50) > intervention (28); no control keyword,2,1,28.0
PMID 32145827 a_Summary_SoE.pdf,Arm 1C (Paclitaxel plus ART),control,14.0,Ambiguous,Active drug(s): paclitaxel; no control keyword,2,2,14.0
PMID 32145827 a_Summary_SoE.pdf,Etoposide plus ART (ET+ART),control,25.0,Suspect,Active drug(s): etoposide; TT (25) > intervention (14); no control keyword,2,2,14.0
PMID 32372176 CT_Summary_SoE.pdf,Arm B (Placebo Topical Gel),control,3.0,Likely correct,Has control keyword,2,2,3.0
PMID 32372176 CT_Summary_SoE.pdf,Arm D (Placebo Subcutaneous Pellet),control,3.0,Likely correct,Has control keyword,2,2,3.0
PMID 32416073 CT_Summary_SoE.pdf,Control Arm (Docetaxel),control,18.0,Ambiguous,Active drug(s): docetaxel; no control keyword,2,1,27.0
