Group,N,Median,Q1,Q3,IQR,Mean,SD
Sponsor: Industry,504,19.0,15.0,27.0,12.0,23.6,16.2
Sponsor: Non-Industry,140,16.5,8.0,40.2,32.2,25.2,22.9
Site: Breast,99,16.0,8.5,20.5,12.0,17.1,12.0
Site: CNS,13,41.0,22.0,53.0,31.0,38.1,20.8
Site: GI,80,20.5,16.8,28.2,11.5,24.4,14.0
Site: GU,90,18.0,11.2,24.0,12.8,19.8,12.3
Site: GYN,40,24.0,17.0,36.5,19.5,28.4,17.7
Site: HN,26,25.0,16.0,39.0,23.0,26.8,18.1
Site: Heme,134,22.0,14.0,42.0,28.0,31.0,23.5
Site: Multiple,11,6.0,3.5,14.0,10.5,11.6,15.8
Site: Other,28,17.0,10.0,49.2,39.2,29.8,28.8
Site: Skin,29,19.0,16.0,25.0,9.0,23.6,17.8
Site: Thor,94,18.0,17.0,25.5,8.5,20.2,9.5
Modality: Chemotherapy,84,32.0,20.0,52.0,32.0,37.0,24.5
Modality: Endocrine,40,14.0,7.8,17.0,9.2,14.1,10.5
Modality: Immunotherapy,137,21.0,18.0,27.0,9.0,24.8,11.9
Modality: Other,83,11.0,3.5,18.5,15.0,15.2,17.0
Modality: Radiation,11,27.0,12.5,32.5,20.0,24.5,14.7
Modality: Targeted Therapy,283,19.0,15.0,27.5,12.5,24.0,16.8
