Disease_Site,N,Slope,CI_lower,CI_upper,R2,p_OLS,Spearman_rho,p_Spearman
Multiple,11,1.8759960159362623,-0.5336367200258221,4.285628751898347,0.2563062886998313,0.11205367818019751,0.37268917921785244,0.25897841977758046
HN,26,0.9335758457621319,-0.68099603670233,2.548147728226594,0.05601629688964238,0.24438249843228407,0.3113830561923963,0.12151475794244053
Breast,99,0.675490395710308,0.23156886667296978,1.1194119247476462,0.08594605034537772,0.0032304925977763316,0.33966211145894276,0.0005827295562701321
Heme,134,0.5305948055443503,-0.4574376477423264,1.5186272588310272,0.008476346342472407,0.29004735090758865,0.06812238811646616,0.4341587966642192
GI,80,-0.13809842651493107,-0.9477011888526521,0.6715043358227899,0.0014762947488593525,0.7350781476296573,-0.04771728458415056,0.6742525830952986
Thor,94,-0.36185161699429585,-0.8178514200054182,0.09414818601682651,0.026288772870012744,0.11845191994056187,-0.058764099278239466,0.5737055662573607
GU,90,-0.39237834904427804,-0.8517010600874143,0.06694436199885823,0.031711640268109687,0.0931076051688774,0.042295952470320725,0.6922356636953002
CNS,13,-0.8827586206898455,-3.6264070918785327,1.860889850498842,0.0436020761918644,0.49357971179830806,-0.11294808698670127,0.7133315647344711
GYN,40,-1.1901595744681057,-2.454720393141084,0.07440124420487293,0.08719938596130972,0.06433036209058825,-0.31389554930917174,0.048556197541286754
Skin,29,-1.2663290615955407,-2.331248545179198,-0.2014095780118832,0.18065351020761677,0.021538708934924808,-0.17443290012852122,0.3654674490792176
Other,28,-2.0368372733532487,-4.314729095452847,0.24105454874634935,0.11499202337495318,0.07751430363571041,-0.30719639305192403,0.11180239986284755
