filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error,publication_year
30738780 CT_Summary_SoE.pdf,Arm A (Radium-223 dichloride + Abiraterone + Prednisone),intervention,2.0,3.0,7.0,10.0,13.0,16.0,28.0,Cycles 1-3: Day 1 and Day 15; Cycles 4-6: Day 1 only; Cycle 7+: Day 1 every 4 weeks.,,
30738780 CT_Summary_SoE.pdf,Arm B (Placebo + Abiraterone + Prednisone),control,2.0,3.0,7.0,10.0,13.0,16.0,28.0,Cycles 1-3: Day 1 and Day 15; Cycles 4-6: Day 1 only; Cycle 7+: Day 1 every 4 weeks.,,
PIMD 27718847 a_Summary_SoE.pdf,Pembrolizumab Arm,intervention,1.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle,,
PIMD 27718847 a_Summary_SoE.pdf,Standard of Care (SOC) Arm,control,1.0,4.0,9.0,14.0,19.0,23.0,21.0,Day 1 and Day 8 of each 21-day cycle (assuming Gemcitabine doublet for maximum contact calculation),,
PMID 19213681 a_Summary_SoE.pdf,Arm A (Nolvadex alone),control,1.0,1.0,1.0,2.0,2.0,3.0,180.0,Daily oral medication; BMD imaging at Month 6 and Month 12.,,2009.0
PMID 19213681 a_Summary_SoE.pdf,Arm B (Nolvadex plus zoledronate),intervention,1.0,1.0,1.0,2.0,2.0,3.0,180.0,Zoledronate i.v. infusion every 6 months (q6m); BMD imaging at Month 6 and Month 12.,,2009.0
PMID 19213681 a_Summary_SoE.pdf,Arm C (Arimidex alone),control,1.0,1.0,1.0,2.0,2.0,3.0,180.0,Daily oral medication; BMD imaging at Month 6 and Month 12.,,2009.0
PMID 19213681 a_Summary_SoE.pdf,Arm D (Arimidex plus zoledronate),intervention,1.0,1.0,1.0,2.0,2.0,3.0,180.0,Zoledronate i.v. infusion every 6 months (q6m); BMD imaging at Month 6 and Month 12.,,2009.0
PMID 20525992 a_Summary_SoE.pdf,Arm A (Melanoma Peptide Vaccine + MDX-010 Placebo),control,2.0,2.0,5.0,8.0,10.0,11.0,21.0,"Treatment on Days 1, 22, 43, 64; Follow-up at Weeks 12, 16, 20, 24, 28, and then every 3 months.",,2010.0
PMID 20525992 a_Summary_SoE.pdf,Arm B (MDX-010 + Melanoma Peptide Vaccine),intervention,2.0,2.0,5.0,8.0,10.0,11.0,21.0,"Treatment on Days 1, 22, 43, 64; Follow-up at Weeks 12, 16, 20, 24, 28, and then every 3 months.",,2010.0
PMID 20525992 a_Summary_SoE.pdf,Arm C (MDX-010 + Vaccine Placebo),intervention,2.0,2.0,5.0,8.0,10.0,11.0,21.0,"Treatment on Days 1, 22, 43, 64; Follow-up at Weeks 12, 16, 20, 24, 28, and then every 3 months.",,2010.0
PMID 20525993 a_Summary_SoE.pdf,Arm A (Nilotinib 300 mg BID),intervention,1.0,4.0,6.0,9.0,10.0,11.0,28.0,"Cycle 1: Days 1, 8, 15, 28. Cycles 2-6: Day 28 of each cycle. After Cycle 6: Every 3 cycles (approx. every 3 months).",,2010.0
PMID 20525993 a_Summary_SoE.pdf,Arm B (Nilotinib 400 mg BID),intervention,1.0,4.0,6.0,9.0,10.0,11.0,28.0,"Cycle 1: Days 1, 8, 15, 28. Cycles 2-6: Day 28 of each cycle. After Cycle 6: Every 3 cycles (approx. every 3 months).",,2010.0
PMID 20525993 a_Summary_SoE.pdf,Arm C (Imatinib 400 mg QD),control,1.0,4.0,6.0,9.0,10.0,11.0,28.0,"Cycle 1: Days 1, 8, 15, 28. Cycles 2-6: Day 28 of each cycle. After Cycle 6: Every 3 cycles (approx. every 3 months).",,2010.0
PMID 20525995 a_Summary_SoE.pdf,Arm A (Dasatinib),intervention,2.0,5.0,7.0,8.0,9.0,10.0,0.0,"Day 1, Week 2 (Day 14), Week 4 (Day 28), Week 6 (Day 42), then every 3 months (Months 3, 6, 9, 12). Dasatinib arm includes additional PK-only visit days on Day 15 and Day 29.",,2010.0
PMID 20525995 a_Summary_SoE.pdf,Arm B (Imatinib),control,2.0,3.0,5.0,6.0,7.0,8.0,0.0,"Day 1, Week 2 (Day 14), Week 4 (Day 28), Week 6 (Day 42), then every 3 months (Months 3, 6, 9, 12).",,2010.0
PMID 20570559 CT a_Summary_SoE.pdf,Arm A (Vandetanib + Docetaxel),intervention,1.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle.,,2010.0
PMID 20570559 CT a_Summary_SoE.pdf,Arm B (Placebo + Docetaxel),control,1.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle.,,2010.0
PMID 20818862 a_Summary_SoE.pdf,Sipuleucel-T (APC8015),intervention,3.0,5.0,6.0,7.0,9.0,10.0,14.0,"Leukapheresis followed by infusion ~2 days later at Weeks 0, 2, and 4.",,2010.0
PMID 20818862 a_Summary_SoE.pdf,Placebo (APC-Placebo),control,3.0,5.0,6.0,7.0,9.0,10.0,14.0,"Leukapheresis followed by placebo infusion ~2 days later at Weeks 0, 2, and 4.",,2010.0
PMID 20826719 a_Summary_SoE.pdf,Voriconazole,intervention,2.0,1.0,1.0,3.0,3.0,4.0,0.0,"Screening (Labs, Physical Function/Imaging), Day 0 (Transplant/Start of Prophylaxis), Day 100 (Assessment), Day 180 (Assessment), Day 365 (Assessment).",,2010.0
PMID 20826719 a_Summary_SoE.pdf,Fluconazole,control,2.0,1.0,1.0,3.0,3.0,4.0,0.0,"Screening (Labs, Physical Function/Imaging), Day 0 (Transplant/Start of Prophylaxis), Day 100 (Assessment), Day 180 (Assessment), Day 365 (Assessment).",,2010.0
PMID 21121833 a_Summary_SoE.pdf,,,,,,,,,,,Unknown failure,2010.0
PMID 21282542 CT_Summary_SoE.pdf,Arm A: ZD6474 (ZACTIMA) 300 mg,intervention,2.0,4.0,6.0,9.0,12.0,16.0,28.0,"Day 1, 8, 15, 29, then every 28 days (4 weeks).",,2011.0
PMID 21282542 CT_Summary_SoE.pdf,Arm B: Erlotinib (TARCEVA) 150 mg,control,2.0,4.0,6.0,9.0,12.0,16.0,28.0,"Day 1, 8, 15, 29, then every 28 days (4 weeks).",,2011.0
PMID 21306237 a_Summary_SoE.pdf,Arm A (Sunitinib),intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,"Day 1 and Day 15 in Month 1, then Day 1 every 4 weeks (Weeks 5, 9, 13, 17, etc.)",,2011.0
PMID 21306237 a_Summary_SoE.pdf,Arm B (Placebo),control,1.0,3.0,5.0,8.0,11.0,15.0,28.0,"Day 1 and Day 15 in Month 1, then Day 1 every 4 weeks (Weeks 5, 9, 13, 17, etc.)",,2011.0
PMID 21306238 a_Summary_SoE.pdf,Arm 1 (RAD001/Everolimus + Best Supportive Care),intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Cycle 1: Day 1 and Day 15. Subsequent cycles: Day 1 of every 28-day cycle.,,2011.0
PMID 21306238 a_Summary_SoE.pdf,Arm 2 (Placebo + Best Supportive Care),control,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Cycle 1: Day 1 and Day 15. Subsequent cycles: Day 1 of every 28-day cycle.,,2011.0
PMID 21410393 a_Summary_SoE.pdf,Arm A (Sirolimus),intervention,2.0,1.0,1.0,2.0,3.0,5.0,,"Screening (Visit 0, Visit 1), then Week 3 (Visit 2), Month 3 (Visit 3), Month 6 (Visit 4), Month 9 (Visit 5), and Month 12 (Visit 6).",,2011.0
PMID 21410393 a_Summary_SoE.pdf,Arm B (Placebo),control,2.0,1.0,1.0,2.0,3.0,5.0,,"Screening (Visit 0, Visit 1), then Week 3 (Visit 2), Month 3 (Visit 3), Month 6 (Visit 4), Month 9 (Visit 5), and Month 12 (Visit 6).",,2011.0
PMID 21612468 a_Summary_SoE.pdf,Arm A (Abiraterone Acetate + Prednisone),intervention,1.0,3.0,7.0,10.0,13.0,17.0,28.0,"Cycles 1-3: Day 1 and Day 15; Cycle 4 onwards: Day 1 only. Imaging (CT/MRI/Bone Scan) every 3 cycles (C4, C7, C10, C13).",,2011.0
PMID 21612468 a_Summary_SoE.pdf,Arm B (Placebo + Prednisone),control,1.0,3.0,7.0,10.0,13.0,17.0,28.0,"Cycles 1-3: Day 1 and Day 15; Cycle 4 onwards: Day 1 only. Imaging (CT/MRI/Bone Scan) every 3 cycles (C4, C7, C10, C13).",,2011.0
PMID 21621716 CT_Summary_SoE.pdf,Arm 1 (Tarceva + Placebo),control,1.0,2.0,5.0,9.0,13.0,18.0,21.0,One visit every 21 days (Day 1 of each cycle) for IV infusion and clinical assessments.,,2011.0
PMID 21621716 CT_Summary_SoE.pdf,Arm 2 (Tarceva + Bevacizumab),intervention,1.0,2.0,5.0,9.0,13.0,18.0,21.0,One visit every 21 days (Day 1 of each cycle) for IV infusion and clinical assessments.,,2011.0
PMID 21631324 a_Summary_SoE.pdf,Arm 1 (gp100:209-217(210M) peptide vaccine plus high-dose IL-2),intervention,2.0,15.0,38.0,71.0,97.0,98.0,21.0,"8 days per cycle (Day 0 vaccine/clinic, Days 1-7 inpatient IL-2 and supportive care)",,2011.0
PMID 21631324 a_Summary_SoE.pdf,Arm 2 (High-dose IL-2 alone),control,2.0,15.0,38.0,71.0,97.0,98.0,21.0,"Cycle 1: 7 days (Days 1-7 inpatient); Cycles 2-12: 8 days (Day 21 clinic, Days 22-28 inpatient)",,2011.0
PMID 21639808 a_Summary_SoE.pdf,Arm A (RO5185426),intervention,1.0,3.0,6.0,10.0,14.0,19.0,21.0,"Day 1 of every 3-week cycle for drug dispensing and assessments, plus a one-time mid-cycle lab visit on Day 8 (7 days post-baseline).",,2011.0
PMID 21639808 a_Summary_SoE.pdf,Arm B (Dacarbazine),control,1.0,3.0,6.0,10.0,14.0,19.0,21.0,"Day 1 of every 3-week cycle for IV infusion and assessments, plus a one-time mid-cycle lab visit on Day 8 (7 days post-baseline).",,2011.0
PMID 21639810 a_Summary_SoE.pdf,Arm A (Ipilimumab + Dacarbazine),intervention,1.0,2.0,8.0,13.0,15.0,17.0,21.0,"Dacarbazine every 3 weeks (Weeks 1, 4, 7, 10, 13, 16, 19, 22); Ipilimumab at Weeks 1, 4, 7, 10, then every 12 weeks starting at Week 24.",,2011.0
PMID 21639810 a_Summary_SoE.pdf,Arm B (Dacarbazine + Placebo),control,1.0,2.0,8.0,13.0,15.0,17.0,21.0,"Dacarbazine every 3 weeks (Weeks 1, 4, 7, 10, 13, 16, 19, 22); Placebo at Weeks 1, 4, 7, 10, then every 12 weeks starting at Week 24.",,2011.0
PMID 21751904 a_Summary_SoE.pdf,Arm 1 (Neoadjuvant TAS + Radiation Therapy),intervention,2.0,1.0,26.0,40.0,41.0,42.0,28.0,2 months of monthly TAS injections followed by ~8 weeks of daily radiation therapy (5 days/week).,,2011.0
PMID 21751904 a_Summary_SoE.pdf,Arm 2 (Radiation Therapy Alone),control,2.0,22.0,38.0,39.0,40.0,41.0,7.0,Daily radiation therapy (5 days/week) for approximately 8 weeks.,,2011.0
PMID 21962393 CT_Summary_SoE.pdf,Arm A (Auto-Allo NMSCT),intervention,5.0,9.0,17.0,21.0,22.0,23.0,,"Intensive post-transplant monitoring (2x/week for 4 weeks), then weekly through week 14, then monthly/quarterly.",,2011.0
PMID 21962393 CT_Summary_SoE.pdf,Arm B (Auto-Auto + Maintenance),intervention,5.0,9.0,15.0,20.0,24.0,29.0,,"Intensive post-transplant monitoring (2x/week for 4 weeks), then weekly/monthly maintenance monitoring visits.",,2011.0
PMID 21962393 CT_Summary_SoE.pdf,Arm C (Auto-Auto + Observation),control,5.0,9.0,12.0,14.0,15.0,16.0,,"Intensive post-transplant monitoring (2x/week for 4 weeks), then reduced frequency observation visits (Wk 8, Day 60, Wk 12, Day 100, 6mo, 9mo, 12mo).",,2011.0
PMID 21990397 a_Summary_SoE.pdf,Arm A (Bevacizumab + Standard Chemotherapy),intervention,2.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle,,2011.0
PMID 21990397 a_Summary_SoE.pdf,Arm B (Placebo + Standard Chemotherapy),control,2.0,2.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle,,2011.0
PMID 21991949 a_Summary_SoE.pdf,AC→T (Doxorubicin and Cyclophosphamide followed by Docetaxel),control,2.0,2.0,5.0,9.0,10.0,11.0,21.0,"Q3W for 8 cycles (4 AC, 4 Docetaxel)",,2011.0
PMID 21991949 a_Summary_SoE.pdf,AC→TH (Doxorubicin and Cyclophosphamide followed by Docetaxel and Trastuzumab),intervention,2.0,2.0,6.0,18.0,22.0,27.0,21.0,Q3W for AC phase; Weekly for TH phase; Q3W for Herceptin monotherapy phase.,,2011.0
