filename,arm_name,n,median,q1,q3,mean,std,min,max,iqr
PMID 25092781 a_Summary_SoE.pdf,Arm A (Standard Chemotherapy),2,102.0,74.0,130.0,102.0,79.19595949289332,46.0,158.0,56.0
PMID 25092781 a_Summary_SoE.pdf,Arm B (Standard Chemotherapy + GMTZ),2,102.5,74.75,130.25,102.5,78.48885271170677,47.0,158.0,55.5
PMID 38231126 a_Summary_SoE.pdf,Guadecitabine (SGI-110),3,86.0,71.5,99.0,85.0,27.51363298439521,57.0,112.0,27.5
PMID 35728048 a_Summary_SoE.pdf,Azacitidine alone,2,74.0,61.0,87.0,74.0,36.76955262170047,48.0,100.0,26.0
PMID 35728048 a_Summary_SoE.pdf,Pevonedistat + Azacitidine,2,74.0,61.0,87.0,74.0,36.76955262170047,48.0,100.0,26.0
PMID 34652968 a_Summary_SoE.pdf,Regimen A (VDC1200/IE),3,67.0,67.0,91.0,83.0,27.712812921102035,67.0,115.0,24.0
PMID 34652968 a_Summary_SoE.pdf,Regimen B (VTC250/IE/VDC1200),3,84.0,81.5,105.5,96.66666666666667,26.38812864401971,79.0,127.0,24.0
PMID 35032434 a_Summary_SoE.pdf,Arm A (Melflufen + Dexamethasone),3,53.0,36.5,53.0,42.0,19.05255888325765,20.0,53.0,16.5
PMID 35032434 a_Summary_SoE.pdf,Arm B (Pomalidomide + Dexamethasone),3,53.0,36.5,53.0,42.0,19.05255888325765,20.0,53.0,16.5
PMID 22571201 a_Summary_SoE.pdf,Arm A (CC-5013 / Lenalidomide),2,34.0,26.5,41.5,34.0,21.213203435596427,19.0,49.0,15.0
PMID 22571201 a_Summary_SoE.pdf,Arm B (Placebo),2,34.0,26.5,41.5,34.0,21.213203435596427,19.0,49.0,15.0
PMID 37646660 CT_Summary_SoE.pdf,Arm A (Melflufen + Daratumumab + Dexamethasone),3,55.0,40.5,55.0,45.333333333333336,16.74315780649915,26.0,55.0,14.5
PMID 36541957 a_Summary_SoE.pdf,Arm A (Ibrutinib + CIT),3,27.0,18.5,33.0,25.333333333333332,14.571661996262929,10.0,39.0,14.5
PMID 38039991 CT_Summary_SoE.pdf,Arm A (Durvalumab + SoC CCRT),3,42.0,31.0,45.0,36.666666666666664,14.742229591663987,20.0,48.0,14.0
PMID 38039991 CT_Summary_SoE.pdf,Arm B (Placebo + SoC CCRT),3,42.0,31.0,45.0,36.666666666666664,14.742229591663987,20.0,48.0,14.0
PMID 36541957 a_Summary_SoE.pdf,Arm B (CIT alone),3,25.0,16.5,30.5,23.0,14.106735979665885,8.0,36.0,14.0
PMID 25354103 a_Summary_SoE.pdf,Arm B (Double Umbilical Cord Blood Transplantation),2,37.5,30.75,44.25,37.5,19.091883092036785,24.0,51.0,13.5
PMID 25354103 a_Summary_SoE.pdf,Arm A (Single Umbilical Cord Blood Transplantation),2,37.5,30.75,44.25,37.5,19.091883092036785,24.0,51.0,13.5
PMID 37071094 a_Summary_SoE.pdf,mFOLFOX6 + bevacizumab,2,40.0,33.5,46.5,40.0,18.384776310850235,27.0,53.0,13.0
PMID 31327689 a_Summary_SoE.pdf,Arm A (Pembrolizumab + Lenalidomide + Dexamethasone),3,27.0,27.0,40.0,35.666666666666664,15.01110699893027,27.0,53.0,13.0
PMID 37071094 a_Summary_SoE.pdf,mFOLFOX6 + panitumumab,2,40.0,33.5,46.5,40.0,18.384776310850235,27.0,53.0,13.0
PMID 26811519 a_Summary_SoE.pdf,Arm B (Etoposide + Cisplatin + TRT),2,33.5,27.25,39.75,33.5,17.67766952966369,21.0,46.0,12.5
PMID 34418665 CT_Summary_SoE.pdf,Arm A (Cetuximab + Cisplatin + 5-FU),3,77.0,65.0,77.5,69.33333333333333,14.153915830374762,53.0,78.0,12.5
PMID 24982504 CT_Summary_SoE.pdf,Arm A (Sirolimus/Tacrolimus),2,36.5,30.25,42.75,36.5,17.67766952966369,24.0,49.0,12.5
PMID 24982504 CT_Summary_SoE.pdf,Arm B (Tacrolimus/Methotrexate),2,36.5,30.25,42.75,36.5,17.67766952966369,24.0,49.0,12.5
PMID 34418665 CT_Summary_SoE.pdf,Arm B (Cisplatin + 5-FU),3,36.0,24.5,36.5,28.666666666666668,13.576941236277534,13.0,37.0,12.0
PMID 26811519 a_Summary_SoE.pdf,Arm A (Pemetrexed + Cisplatin + TRT),2,38.0,32.0,44.0,38.0,16.97056274847714,26.0,50.0,12.0
PMID 35271306 a_Summary_SoE.pdf,Arm A (Modified ABFM Backbone),3,72.0,65.0,75.5,69.66666666666667,10.692676621563626,58.0,79.0,10.5
PMID 31454045 a_Summary_SoE.pdf,Regimen A (Single Myeloablative Consolidation),3,93.0,91.0,101.5,97.33333333333333,11.150485789118486,89.0,110.0,10.5
PMID 27731748 a_Summary_SoE.pdf,Ofatumumab plus fludarabine and cyclophosphamide (OFA+FC),2,10.5,5.25,15.75,10.5,14.849242404917497,0.0,21.0,10.5
PMID 30939090 a_Summary_SoE.pdf,Arm B (DA-EPOCH-R),3,41.0,40.5,50.5,47.0,11.269427669584644,40.0,60.0,10.0
PMID 31454045 a_Summary_SoE.pdf,Regimen B (Tandem Myeloablative Consolidation),3,110.0,110.0,120.0,116.66666666666667,11.547005383792516,110.0,130.0,10.0
PMID 25713428 a_Summary_SoE.pdf,Regimen II (Gemcitabine + Docetaxel + Bevacizumab + G-CSF),3,62.0,53.0,62.5,56.333333333333336,10.692676621563628,44.0,63.0,9.5
PMID 25713428 a_Summary_SoE.pdf,Regimen I (Gemcitabine + Docetaxel + Placebo + G-CSF),3,62.0,53.0,62.5,56.333333333333336,10.692676621563628,44.0,63.0,9.5
PMID 37875143 a_Summary_SoE.pdf,Arm B (Placebo + Chemotherapy),3,36.0,27.0,36.0,30.0,10.392304845413264,18.0,36.0,9.0
