filename,arm_name,n,median,q1,q3,mean,std,min,max,iqr
30738780 CT_Summary_SoE.pdf,Arm A (Radium-223 dichloride + Abiraterone + Prednisone),1,16.0,16.0,16.0,16.0,,16.0,16.0,0.0
30738780 CT_Summary_SoE.pdf,Arm A (Radium-223 dichloride + Abiraterone acetate + Prednisone),1,17.0,17.0,17.0,17.0,,17.0,17.0,0.0
30738780 CT_Summary_SoE.pdf,Arm A (Radium-223 dichloride + abiraterone acetate + prednisone/prednisolone),1,17.0,17.0,17.0,17.0,,17.0,17.0,0.0
30738780 CT_Summary_SoE.pdf,Arm B (Placebo + Abiraterone + Prednisone),1,16.0,16.0,16.0,16.0,,16.0,16.0,0.0
30738780 CT_Summary_SoE.pdf,Arm B (Placebo + Abiraterone acetate + Prednisone),1,17.0,17.0,17.0,17.0,,17.0,17.0,0.0
30738780 CT_Summary_SoE.pdf,Arm B (Placebo + abiraterone acetate + prednisone/prednisolone),1,17.0,17.0,17.0,17.0,,17.0,17.0,0.0
PIMD 27718847 a_Summary_SoE.pdf,Arm 1: Pembrolizumab (MK-3475),1,18.0,18.0,18.0,18.0,,18.0,18.0,0.0
PIMD 27718847 a_Summary_SoE.pdf,Arm 2: Standard of Care (SOC) Platinum-based Chemotherapy,1,24.0,24.0,24.0,24.0,,24.0,24.0,0.0
PIMD 27718847 a_Summary_SoE.pdf,Arm A (Pembrolizumab Monotherapy),1,20.0,20.0,20.0,20.0,,20.0,20.0,0.0
PIMD 27718847 a_Summary_SoE.pdf,Arm B (Standard of Care Platinum-based Chemotherapy),1,25.0,25.0,25.0,25.0,,25.0,25.0,0.0
PIMD 27718847 a_Summary_SoE.pdf,Pembrolizumab Arm,1,18.0,18.0,18.0,18.0,,18.0,18.0,0.0
PIMD 27718847 a_Summary_SoE.pdf,Standard of Care (SOC) Arm,1,23.0,23.0,23.0,23.0,,23.0,23.0,0.0
PMID 19213681 a_Summary_SoE.pdf,Arm A (Nolvadex alone),3,3.0,2.5,3.0,2.6666666666666665,0.5773502691896258,2.0,3.0,0.5
PMID 19213681 a_Summary_SoE.pdf,Arm B (Nolvadex plus zoledronate),3,3.0,3.0,8.5,6.666666666666667,6.3508529610858835,3.0,14.0,5.5
PMID 19213681 a_Summary_SoE.pdf,Arm C (Arimidex alone),3,3.0,2.5,3.0,2.6666666666666665,0.5773502691896258,2.0,3.0,0.5
PMID 19213681 a_Summary_SoE.pdf,Arm D (Arimidex plus zoledronate),3,3.0,3.0,8.5,6.666666666666667,6.3508529610858835,3.0,14.0,5.5
PMID 20525992 a_Summary_SoE.pdf,Arm A (Melanoma Peptide Vaccine + MDX-010 Placebo),1,11.0,11.0,11.0,11.0,,11.0,11.0,0.0
PMID 20525992 a_Summary_SoE.pdf,Arm A (Melanoma Peptide Vaccine Monotherapy),2,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0
PMID 20525992 a_Summary_SoE.pdf,Arm B (MDX-010 + Melanoma Peptide Vaccine),2,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0
PMID 20525992 a_Summary_SoE.pdf,Arm B (MDX-010 in Combination with Melanoma Peptide Vaccine),1,11.0,11.0,11.0,11.0,,11.0,11.0,0.0
PMID 20525992 a_Summary_SoE.pdf,Arm C (MDX-010 + Vaccine Placebo),1,11.0,11.0,11.0,11.0,,11.0,11.0,0.0
PMID 20525992 a_Summary_SoE.pdf,Arm C (MDX-010 Monotherapy),2,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0
PMID 20525993 a_Summary_SoE.pdf,Arm A (Nilotinib 300 mg BID),2,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0
PMID 20525993 a_Summary_SoE.pdf,Arm B (Nilotinib 400 mg BID),2,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0
PMID 20525993 a_Summary_SoE.pdf,Arm C (Imatinib 400 mg QD),2,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0
PMID 20525993 a_Summary_SoE.pdf,Imatinib 400 mg QD,1,11.0,11.0,11.0,11.0,,11.0,11.0,0.0
PMID 20525993 a_Summary_SoE.pdf,Nilotinib 300 mg BID,1,11.0,11.0,11.0,11.0,,11.0,11.0,0.0
PMID 20525993 a_Summary_SoE.pdf,Nilotinib 400 mg BID,1,11.0,11.0,11.0,11.0,,11.0,11.0,0.0
PMID 20525995 a_Summary_SoE.pdf,Arm A (Dasatinib),1,10.0,10.0,10.0,10.0,,10.0,10.0,0.0
PMID 20525995 a_Summary_SoE.pdf,Arm B (Imatinib),1,8.0,8.0,8.0,8.0,,8.0,8.0,0.0
PMID 20525995 a_Summary_SoE.pdf,Dasatinib (100 mg daily),2,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0
PMID 20525995 a_Summary_SoE.pdf,Imatinib (400 mg daily),2,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0
PMID 20570559 CT a_Summary_SoE.pdf,Arm A (Vandetanib + Docetaxel),1,18.0,18.0,18.0,18.0,,18.0,18.0,0.0
PMID 20570559 CT a_Summary_SoE.pdf,Arm B (Placebo + Docetaxel),1,18.0,18.0,18.0,18.0,,18.0,18.0,0.0
PMID 20570559 CT a_Summary_SoE.pdf,Placebo + Docetaxel,1,18.0,18.0,18.0,18.0,,18.0,18.0,0.0
PMID 20570559 CT a_Summary_SoE.pdf,Placebo + Docetaxel (75 mg/m²),1,18.0,18.0,18.0,18.0,,18.0,18.0,0.0
PMID 20570559 CT a_Summary_SoE.pdf,Vandetanib (100 mg) + Docetaxel (75 mg/m²),1,18.0,18.0,18.0,18.0,,18.0,18.0,0.0
PMID 20570559 CT a_Summary_SoE.pdf,Vandetanib + Docetaxel,1,18.0,18.0,18.0,18.0,,18.0,18.0,0.0
PMID 20818862 a_Summary_SoE.pdf,Arm A (Sipuleucel-T),1,12.0,12.0,12.0,12.0,,12.0,12.0,0.0
PMID 20818862 a_Summary_SoE.pdf,Arm B (Placebo),1,12.0,12.0,12.0,12.0,,12.0,12.0,0.0
PMID 20818862 a_Summary_SoE.pdf,Placebo (APC-Placebo),2,12.0,11.0,13.0,12.0,2.8284271247461903,10.0,14.0,2.0
PMID 20818862 a_Summary_SoE.pdf,Sipuleucel-T (APC8015),2,12.0,11.0,13.0,12.0,2.8284271247461903,10.0,14.0,2.0
PMID 20826719 a_Summary_SoE.pdf,Fluconazole,3,4.0,2.0,4.0,2.6666666666666665,2.3094010767585034,0.0,4.0,2.0
PMID 20826719 a_Summary_SoE.pdf,Voriconazole,3,4.0,2.0,4.0,2.6666666666666665,2.3094010767585034,0.0,4.0,2.0
PMID 21121833 a_Summary_SoE.pdf,Arm A (TAC),1,9.0,9.0,9.0,9.0,,9.0,9.0,0.0
PMID 21121833 a_Summary_SoE.pdf,"Arm A (TAC: Docetaxel, Doxorubicin, Cyclophosphamide)",1,10.0,10.0,10.0,10.0,,10.0,10.0,0.0
PMID 21121833 a_Summary_SoE.pdf,Arm B (FAC),1,9.0,9.0,9.0,9.0,,9.0,9.0,0.0
PMID 21121833 a_Summary_SoE.pdf,"Arm B (FAC: 5-Fluorouracil, Doxorubicin, Cyclophosphamide)",1,10.0,10.0,10.0,10.0,,10.0,10.0,0.0
PMID 21121833 a_Summary_SoE.pdf,"FAC (5-Fluorouracil, Doxorubicin, Cyclophosphamide)",1,9.0,9.0,9.0,9.0,,9.0,9.0,0.0
PMID 21121833 a_Summary_SoE.pdf,"TAC (Docetaxel, Doxorubicin, Cyclophosphamide)",1,9.0,9.0,9.0,9.0,,9.0,9.0,0.0
PMID 21282542 CT_Summary_SoE.pdf,Arm A (ZD6474 / ZACTIMA),1,16.0,16.0,16.0,16.0,,16.0,16.0,0.0
PMID 21282542 CT_Summary_SoE.pdf,Arm A (ZD6474 300 mg),1,16.0,16.0,16.0,16.0,,16.0,16.0,0.0
PMID 21282542 CT_Summary_SoE.pdf,Arm A: ZD6474 (ZACTIMA) 300 mg,1,16.0,16.0,16.0,16.0,,16.0,16.0,0.0
PMID 21282542 CT_Summary_SoE.pdf,Arm B (Erlotinib / TARCEVA),1,16.0,16.0,16.0,16.0,,16.0,16.0,0.0
PMID 21282542 CT_Summary_SoE.pdf,Arm B (Erlotinib 150 mg),1,16.0,16.0,16.0,16.0,,16.0,16.0,0.0
PMID 21282542 CT_Summary_SoE.pdf,Arm B: Erlotinib (TARCEVA) 150 mg,1,16.0,16.0,16.0,16.0,,16.0,16.0,0.0
PMID 21306237 a_Summary_SoE.pdf,Arm A (Sunitinib),2,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0.0
PMID 21306237 a_Summary_SoE.pdf,Arm B (Placebo),2,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0.0
PMID 21306237 a_Summary_SoE.pdf,Placebo,1,15.0,15.0,15.0,15.0,,15.0,15.0,0.0
PMID 21306237 a_Summary_SoE.pdf,Sunitinib (SU011248),1,15.0,15.0,15.0,15.0,,15.0,15.0,0.0
PMID 21306238 a_Summary_SoE.pdf,Arm 1 (Everolimus 10 mg/d + Best Supportive Care),1,15.0,15.0,15.0,15.0,,15.0,15.0,0.0
PMID 21306238 a_Summary_SoE.pdf,Arm 1 (RAD001/Everolimus + Best Supportive Care),1,15.0,15.0,15.0,15.0,,15.0,15.0,0.0
PMID 21306238 a_Summary_SoE.pdf,Arm 2 (Placebo + Best Supportive Care),2,15.0,15.0,15.0,15.0,0.0,15.0,15.0,0.0
PMID 21306238 a_Summary_SoE.pdf,Arm A (RAD001 10 mg/d plus best supportive care),1,15.0,15.0,15.0,15.0,,15.0,15.0,0.0
PMID 21306238 a_Summary_SoE.pdf,Arm B (Placebo plus best supportive care),1,15.0,15.0,15.0,15.0,,15.0,15.0,0.0
PMID 21410393 a_Summary_SoE.pdf,Arm A (Sirolimus),1,5.0,5.0,5.0,5.0,,5.0,5.0,0.0
